Gene ID,Gene Name,Reference,Strand,Start,End,Coverage,FPKM,TPM
FBgn0033738,DUBAI,2R,-,12431447,12436577,72.601845,98.108994,137.86235
FBgn0050051,Tmem18,2R,+,12436120,12436990,32.836678,38.139732,53.593796
FBgn0033739,Dyb,2R,+,12437345,12452916,0,0,0
FBgn0050334,CG30334,2R,-,12440633,12441320,119.670845,140.85405,197.927551
FBgn0010238,Lac,2R,+,12453190,12465630,7.046382,8.184358,11.500627
FBgn0033740,dgt5,2R,-,12465678,12471775,0.946957,1.099889,1.545559
FBgn0033741,CG8545,2R,+,12468651,12471722,0,0,0
FBgn0033742,CG8550,2R,+,12471915,12474021,0.271476,0.315319,0.443085
FBgn0033744,Dh44-R2,2R,+,12474424,12487986,1.043625,1.294717,1.819331
FBgn0085263,CG34234,2R,-,12486719,12487378,1.004693,1.166949,1.639792
FBgn0045063,fdl,2R,-,12487451,12507333,17.850206,34.923256,49.07402
FBgn0050044,s-cup,2R,+,12495672,12501459,7.078754,8.221957,11.553461
FBgn0033748,vis,2R,-,12507896,12510615,21.416084,27.842209,39.12376
FBgn0033749,achi,2R,-,12511534,12515062,11.620263,15.689727,22.04714
FBgn0033750,CG13151,2R,+,12515375,12517284,1.142957,1.327542,1.865457
FBgn0033751,CG8818,2R,-,12517264,12518912,28.860556,33.521473,47.10424
FBgn0033752,CG8569,2R,+,12519166,12521624,7.451157,8.654503,12.161272
FBgn0011592,fra,2R,+,12529053,12564184,6.177057,7.459791,10.482468
FBgn0053752,CG33752,2R,+,12545689,12546301,0,0,0
FBgn0050056,CG30056,2R,+,12562060,12562655,197.236557,229.089844,321.916107
FBgn0033753,Cyp301a1,2R,+,12566185,12569061,0.468041,0.543629,0.763905
FBgn0033754,Ak6,2R,-,12569014,12569847,0,0,0
FBgn0003527,stil,2R,+,12570367,12571883,33.631939,39.063423,54.891769
FBgn0033755,ClC-b,2R,+,12572068,12575299,1.500189,1.742466,2.448507
FBgn0022764,Sin3A,2R,-,12575240,12592917,2.014754,2.457244,3.452909
FBgn0050055,lncRNA:CR30055,2R,+,12589239,12591395,0.141885,0.403759,0.56736
FBgn0266817,lncRNA:CR45279,2R,-,12593195,12593827,13.428061,15.596663,21.916368
FBgn0027356,Amph,2R,+,12593604,12612068,10.656798,13.399371,18.828741
FBgn0264510,lncRNA:CR43909,2R,-,12594392,12595649,25.058823,29.105768,40.899307
FBgn0004435,Galphaq,2R,+,12612740,12623197,5.941319,17.970068,25.251465
FBgn0266487,CG45086,2R,+,12612740,12619820,0,0,0
FBgn0050054,CG30054,2R,+,12623726,12625352,3.620536,4.414127,6.202714
FBgn0033757,muskelin,2R,-,12628697,12632378,3.748315,4.510974,6.338803
FBgn0053792,CG33792,2R,+,12632674,12633454,0,0,0
FBgn0028683,spt4,2R,+,12633589,12634172,4.72009,5.482375,7.70381
FBgn0061359,CG33671,2R,-,12634166,12636141,10.853198,16.420166,23.073549
FBgn0061360,CG33672,2R,-,12634166,12636141,0,0,0
FBgn0011604,Iswi,2R,+,12636671,12640628,34.155743,40.664829,57.142048
FBgn0033760,CG8785,2R,-,12640690,12648224,0,0,0
FBgn0033761,CG8778,2R,-,12651301,12652487,2.937722,3.412158,4.79475
FBgn0033762,ZnT49B,2R,+,12652805,12655743,13.162024,15.339264,21.55467
FBgn0033763,CG8646,2R,+,12655954,12659341,3.495746,4.060301,5.705519
FBgn0261673,nemy,2R,-,12659497,12670219,40.376141,83.413658,117.212532
FBgn0261625,GLS,2R,-,12670483,12679593,40.402618,80.182472,112.672081
FBgn0033766,Nup188,2R,-,12679967,12686179,0.483235,0.561276,0.788703
FBgn0033767,CG13148,2R,+,12686249,12688786,18.641748,22.744879,31.961008
FBgn0050053,CG30053,2R,-,12688733,12689876,0,0,0
FBgn0050052,Obp49a,2R,-,12690059,12690955,0.965385,1.121293,1.575636
FBgn0033769,CG8768,2R,-,12691308,12692690,1.996694,2.319156,3.258868
FBgn0033770,wuc,2R,+,12700081,12700851,8.172028,9.629196,13.530907
FBgn0261545,CG42663,2R,+,12705172,12751545,1.147001,1.332239,1.872057
FBgn0033773,Mos,2R,-,12751483,12752936,0,0,0
FBgn0026619,Taz,2R,-,12753026,12756414,33.511959,64.443542,90.555809
FBgn0026741,mRpL18,2R,+,12756434,12757173,0,0,0
FBgn0011227,ox,2R,-,12757133,12757529,137.341385,159.521729,224.159286
FBgn0020930,Dgkepsilon,2R,+,12757546,12759724,25.23377,30.587242,42.981068
FBgn0086904,Nacalpha,2R,-,12759693,12760999,81.222527,108.712471,152.762314
FBgn0033774,CG12374,2R,+,12762113,12763825,0,0,0
FBgn0003326,sca,2R,+,12780541,12802010,0,0,0
FBgn0266630,asRNA:CR45137,2R,-,12783611,12799259,0,0,0
FBgn0040755,CG17580,2R,+,12806614,12807811,7.390424,8.583961,12.062148
FBgn0265646,lncRNA:CR44453,2R,-,12839233,12839850,0.746403,0.866946,1.218228
FBgn0033775,Cyp9h1,2R,-,12840813,12842558,0,0,0
FBgn0028963,Or49b,2R,+,12842665,12844704,0,0,0
FBgn0250842,CG17575,2R,-,12845544,12846596,2.388715,2.836735,3.986169
FBgn0050488,antr,2R,-,12846848,12848004,2.547437,2.958843,4.157753
FBgn0050486,CG30486,2R,-,12848034,12848993,0,0,0
FBgn0267024,asRNA:CR45468,2R,+,12848139,12849295,0.261884,0.304178,0.427429
FBgn0033777,CG17574,2R,-,12849358,12869423,4.340951,10.877719,15.285327
FBgn0266633,asRNA:CR45140,2R,+,12867609,12869783,0.557674,0.729877,1.02562
FBgn0000181,bic,2R,+,12870249,12871794,174.437881,215.204666,302.404724
FBgn0263446,asRNA:CR43469,2R,+,12872756,12875087,0,0,0
FBgn0033778,Balat,2R,-,12872787,12875012,0,0,0
FBgn0025692,Lfg,2R,-,12875164,12876966,1.51751,2.196972,3.087176
FBgn0263445,asRNA:CR43468,2R,+,12875164,12877280,0,0,0
FBgn0002069,AspRS,2R,+,12877004,12883168,2.588972,3.45962,4.861444
FBgn0013305,Nmda1,2R,-,12877094,12880230,20.581427,36.012928,50.605217
FBgn0266634,asRNA:CR45141,2R,-,12881445,12883253,0.295995,0.343798,0.483103
FBgn0267957,lncRNA:CR46237,2R,+,12900881,12901613,2.72442,3.164408,4.446613
FBgn0265654,lncRNA:CR44461,2R,+,12906395,12907295,0,0,0
FBgn0010488,NAT1,2R,+,12915994,12923734,95.517982,114.053902,160.268082
FBgn0033781,CG13319,2R,+,12923904,12924664,4.05694,4.729118,6.645337
FBgn0033782,sug,2R,+,12924567,12930644,0.973063,1.21028,1.70068
FBgn0033783,CG17019,2R,-,12930912,12934045,2.023037,2.349753,3.301864
FBgn0033784,SCCRO3,2R,-,12934234,12936535,98.813774,115.48085,162.273224
FBgn0033785,Sans,2R,+,12936891,12940412,2.939232,3.413912,4.797215
FBgn0050487,CG30487,2R,-,12937616,12938343,239.651093,278.354248,391.142242
FBgn0004512,Mdr49,2R,-,12940323,12946347,1.56455,1.884082,2.647504
FBgn0265186,CG44251,2R,-,12948348,12952293,0,0,0
FBgn0265185,CG44250,2R,-,12950404,12952293,1.320909,1.581684,2.222575
FBgn0033787,CG13321,2R,+,12953112,12955712,5.813509,6.752378,9.488415
FBgn0005624,Psc,2R,-,12965997,12980994,0.744315,0.86452,1.21482
FBgn0053798,CG33798,2R,+,12993897,12994622,0,0,0
FBgn0265623,Su(z)2,2R,+,12996501,13007911,0,0,0
FBgn0033788,CG13323,2R,-,13044695,13047256,0.14676,0.83824,1.177892
FBgn0033789,CG13324,2R,-,13049146,13049656,1.714286,1.99114,2.797941
FBgn0033791,Drl-2,2R,-,13055246,13079539,0.599834,0.696706,0.979008
FBgn0265429,CG44341,2R,+,13103895,13104895,0,0,0
FBgn0033792,CG13325,2R,+,13110769,13126014,0,0,0
FBgn0033793,CG3955,2R,-,13127915,13129052,19.987965,23.215977,32.622997
FBgn0033794,CG13326,2R,-,13129511,13132455,90.86573,105.540352,148.304871
FBgn0259876,Cap-G,2R,+,13133142,13142820,34.351036,39.898655,56.06543
FBgn0263998,Ack-like,2R,-,13142834,13152677,1.865922,3.962304,5.567813
FBgn0020370,TppII,2R,-,13152885,13159141,10.461072,12.752377,17.919588
FBgn0085468,ND-MWFE,2R,+,13158666,13160190,65.541183,89.875374,126.292511
FBgn0020391,Nrk,2R,+,13160063,13163484,0.307913,0.35764,0.502555
FBgn0033798,CG15870,2R,-,13163363,13163948,0,0,0
FBgn0033799,GLaz,2R,-,13163959,13168032,3.398354,4.355881,6.120866
FBgn0086532,Spt-I,2R,+,13168498,13170744,2.497814,3.029049,4.256408
FBgn0266635,asRNA:CR45142,2R,-,13168500,13170745,0,0,0
FBgn0053138,AGBE,2R,+,13171401,13174796,5.711886,6.634343,9.322553
FBgn0053137,CG33137,2R,+,13175395,13176075,0,0,0
FBgn0033802,CG17724,2R,-,13176094,13190086,0.607392,1.328679,1.867055
FBgn0053182,Kdm4B,2R,-,13176553,13198337,14.681031,44.104141,61.97496
FBgn0028991,seq,2R,-,13176553,13190086,0.527359,1.180973,1.659498
FBgn0027079,ValRS,2R,+,13198850,13202709,1.596717,1.903682,2.675046
FBgn0005654,Orc3,2R,-,13202728,13206547,90.691704,107.752899,151.41394
FBgn0085344,CG34315,2R,-,13202728,13206547,0,0,0
FBgn0033806,FLASH,2R,+,13206745,13210469,5.939421,6.898625,9.693919
FBgn0085341,CG34312,2R,-,13209809,13212237,0.742467,2.114842,2.971768
FBgn0050058,CG30058,2R,-,13209809,13212237,53.276779,97.73291,137.333893
FBgn0085264,CG34235,2R,-,13209809,13212237,39.728157,46.144169,64.841599
FBgn0033807,AQP,2R,-,13212405,13214496,2.930818,3.613022,5.077003
FBgn0033808,CG4627,2R,+,13214706,13215760,8.591093,9.978536,14.021798
FBgn0033809,CG4630,2R,-,13215659,13219247,0.780073,0.930403,1.307398
FBgn0033810,CG4646,2R,-,13219396,13220251,2.864492,3.793561,5.330697
FBgn0040754,CG17059,2R,+,13220283,13221015,3.18273,3.696734,5.194636
FBgn0043010,Fsn,2R,-,13220939,13222459,25.075981,31.617226,44.428398
FBgn0011763,Dp,2R,+,13222433,13228202,1.415648,3.201545,4.498797
FBgn0264539,lncRNA:CR43918,2R,-,13224175,13224462,7.208333,8.372463,11.764952
FBgn0033812,Pex13,2R,-,13228276,13230234,5.391968,6.262759,8.800404
FBgn0033813,fsd,2R,+,13230583,13231663,13.17353,15.301026,21.50094
FBgn0033814,Qsox1,2R,-,13231758,13235296,7.129389,9.154269,12.863542
FBgn0033815,CG4676,2R,+,13235980,13237055,11.49707,13.353823,18.764736
FBgn0033816,CG4679,2R,-,13237256,13239468,2.761464,3.207435,4.507074
FBgn0033817,GstE14,2R,+,13239729,13241013,0.642857,0.746677,1.049227
FBgn0002789,Mp20,2R,+,13246670,13248880,15.257384,19.11252,26.856836
FBgn0033818,CG4712,2R,-,13248894,13251724,150.568192,174.944504,245.831284
FBgn0033819,CG4714,2R,-,13251852,13254337,120.613167,140.091934,196.856628
FBgn0265443,lncRNA:CR44343,2R,-,13254495,13255496,5.906188,6.860024,9.639679
FBgn0033820,CG4716,2R,+,13256587,13257446,0,0,0
FBgn0033821,CG10799,2R,+,13257886,13258477,0.256757,0.298223,0.419061
FBgn0259219,CG42319,2R,+,13260101,13266336,0,0,0
FBgn0265104,lncRNA:CR44206,2R,-,13329352,13344808,0,0,0
FBgn0262391,mir-184,2R,-,13329402,13329501,0,0,0
FBgn0033828,CG17048,2R,-,13353638,13354499,65,90.80088,127.593025
FBgn0033830,CG10814,2R,-,13375975,13377731,0.292181,0.339368,0.476878
FBgn0263774,CG43691,2R,-,13389495,13393361,25.832279,31.481928,44.238277
FBgn0041579,AttC,2R,+,13393705,13394667,0.981594,1.140119,1.602091
FBgn0033834,CG4744,2R,-,13394615,13399368,50.224003,58.335072,81.972206
FBgn0283462,IMPPP,2R,+,13407011,13408358,0.577169,0.859273,1.207446
FBgn0033836,CG18278,2R,-,13408042,13409887,0.911736,1.058979,1.488074
FBgn0267026,CR45470,2R,-,13410269,13410591,0.305464,0.354796,0.498558
FBgn0053470,CG33470,2R,+,13411739,13413085,0.680649,0.790572,1.110909
FBgn0260475,CG30059,2R,-,13412769,13414620,1.188522,1.380466,1.939825
FBgn0259221,CG42321,2R,-,13414978,13439051,21.07214,43.795692,61.541531
FBgn0265272,CG30060,2R,-,13422978,13423647,86.738808,100.746941,141.569199
FBgn0011881,tRNA:Ile-AAT-1-3,2R,-,13430282,13430355,0,0,0
FBgn0011909,tRNA:Leu-CAA-2-1,2R,-,13430695,13430815,0,0,0
FBgn0011882,tRNA:Ile-AAT-1-4,2R,+,13430984,13431057,0,0,0
FBgn0011883,tRNA:Ile-AAT-1-5,2R,+,13431285,13431358,0,0,0
FBgn0011884,tRNA:Ile-AAT-1-6,2R,+,13431777,13431850,0,0,0
FBgn0011885,tRNA:Ile-AAT-1-7,2R,+,13432093,13432166,0,0,0
FBgn0011910,tRNA:Leu-CAA-1-1,2R,+,13432668,13432794,0,0,0
FBgn0050065,CG30065,2R,+,13433028,13433760,101.575035,117.979187,165.783875
FBgn0019928,Ser8,2R,+,13434207,13435045,1.854589,2.154101,3.026934
FBgn0050509,tRNA:Ile-AAT-1-8,2R,+,13437866,13437939,0,0,0
FBgn0013765,cnn,2R,-,13439314,13450475,74.497505,246.347992,346.167206
FBgn0050062,CG30062,2R,-,13445700,13446309,0,0,0
FBgn0086757,cbs,2R,+,13450586,13453393,15.064244,17.497087,24.586836
FBgn0000119,arr,2R,-,13453640,13483229,4.020086,4.669321,6.561311
FBgn0262821,CG43192,2R,+,13477342,13478079,11.089631,12.880583,18.099743
FBgn0033842,cbc,2R,-,13483512,13485391,13.182588,15.311548,21.515724
FBgn0040477,cid,2R,+,13485617,13486631,0.859113,0.997858,1.402186
FBgn0033844,bbc,2R,-,13486634,13494862,15.640874,27.533041,38.68932
FBgn0004638,drk,2R,-,13495222,13502841,8.758236,11.944171,16.783901
FBgn0033845,mars,2R,+,13500621,13506011,17.482294,32.103848,45.112198
FBgn0033846,mip120,2R,+,13506430,13513112,0.280033,0.341263,0.479542
FBgn0024556,mEFTu1,2R,+,13507557,13509332,8.420045,9.984281,14.029871
FBgn0260964,Vmat,2R,-,13513132,13534251,0.881422,1.136839,1.597482
FBgn0033848,CG13330,2R,+,13515259,13517452,81.246834,94.368019,132.60556
FBgn0033850,CG13331,2R,+,13521769,13523375,0,0,0
FBgn0033851,CG13332,2R,+,13525377,13526448,0,0,0
FBgn0033853,CG6145,2R,-,13537371,13547577,1.333231,2.28888,3.216325
FBgn0053156,CG33156,2R,-,13548244,13553240,1.37105,2.695504,3.787712
FBgn0014877,Roe1,2R,+,13554077,13555606,183.569946,213.216095,299.610413
FBgn0033856,CG13334,2R,+,13558545,13560768,53.016636,87.732895,123.281906
FBgn0261989,CG42807,2R,-,13570595,13572759,0,0,0
FBgn0261990,CG42808,2R,-,13573618,13574257,0.621875,0.722306,1.014982
FBgn0027581,CG6191,2R,-,13580313,13593339,2.198468,2.553516,3.58819
FBgn0266489,CG45088,2R,-,13580586,13593339,0.227606,0.264364,0.371483
FBgn0033859,fand,2R,+,13593644,13596557,1.112066,1.291662,1.815039
FBgn0033860,S-Lap5,2R,+,13596677,13598750,175.475403,203.814316,286.399048
FBgn0262360,CG43058,2R,-,13600645,13601099,48.281319,56.078648,78.801491
FBgn0033861,CG12464,2R,-,13608673,13609178,174.102768,202.220001,284.158722
FBgn0000633,CG17716,2R,+,13623044,13749367,0.289562,0.336326,0.472603
FBgn0033862,CG6209,2R,-,13661495,13663598,293.820343,341.271698,479.553619
FBgn0033863,CG13337,2R,+,13665114,13667756,74.910706,10950.65723,15387.81934
FBgn0033864,CG18368,2R,+,13667736,13671594,0,0,0
FBgn0266391,lncRNA:CR45031,2R,-,13671649,13671964,1.386076,1.609924,2.262259
FBgn0266392,lncRNA:CR45032,2R,-,13673970,13674633,2.625,3.048932,4.284347
FBgn0033865,CG6220,2R,-,13691707,13693369,6.529082,7.583515,10.656324
FBgn0033866,CG6280,2R,+,13753964,13758971,0,0,0
FBgn0033867,Cpr50Ca,2R,+,13769915,13787802,0.440619,0.511778,0.719148
FBgn0033868,S-Lap7,2R,-,13778124,13780245,3029.821289,3678.618896,5169.180176
FBgn0264358,lncRNA:CR43810,2R,+,13783995,13784496,52.100445,60.514553,85.034805
FBgn0264359,lncRNA:CR43811,2R,+,13791946,13792587,1.459044,1.694677,2.381352
FBgn0033869,Cpr50Cb,2R,+,13794777,13805231,0.341407,0.396544,0.557221
FBgn0261041,stj,2R,+,13805794,13819571,4.694104,6.82634,9.592345
FBgn0000662,fl(2)d,2R,-,13819624,13824553,0.990595,1.334343,1.875013
FBgn0033871,CG13339,2R,+,13824858,13825572,4.666163,5.419739,7.615794
FBgn0033872,CG6329,2R,+,13826371,13833503,0,0,0
FBgn0033873,CG6337,2R,-,13833575,13835096,0,0,0
FBgn0033874,CG6347,2R,+,13836419,13839363,0,0,0
FBgn0033875,CG6357,2R,+,13840053,13841743,9.056211,10.518771,14.780932
FBgn0033876,Syngr,2R,-,13841761,13846255,1.590775,1.847682,2.596355
FBgn0050484,CG30484,2R,+,13846393,13849832,5.517105,6.408106,9.004644
FBgn0050485,CG30485,2R,+,13849882,13852983,49.267979,57.224651,80.41185
FBgn0283553,mir-9379,2R,-,13852845,13852901,0.067376,0.078257,0.109967
FBgn0033879,Echs1,2R,-,13852947,13854331,18.945627,23.474646,32.986473
FBgn0086356,tum,2R,-,13856150,13858689,2.299192,2.670507,3.752585
FBgn0263697,Uba3,2R,+,13858952,13860432,7.016886,8.150099,11.452485
FBgn0033883,CG16935,2R,-,13860349,13862002,41.652241,48.37899,67.981956
FBgn0033884,CG13344,2R,+,13861997,13864156,15.529294,25.170544,35.369549
FBgn0013733,shot,2R,-,13864237,13942110,0.415018,0.555677,0.780835
FBgn0033885,DJ-1alpha,2R,-,13942534,13943377,25.17415,29.239723,41.08754
FBgn0262739,AGO1,2R,-,13943387,13958089,2.046727,2.494807,3.505692
FBgn0050481,mRpL53,2R,+,13954195,13955664,13.238283,15.376238,21.606627
FBgn0053155,CG33155,2R,+,13954195,13955664,2.220075,4.233647,5.949103
FBgn0033886,Rpn13,2R,-,13958545,13960404,110.680023,149.04248,209.433884
FBgn0013770,Cp1,2R,+,13960675,13967981,17.96822,57.598183,80.936729
FBgn0261975,CG42806,2R,+,13964653,13965455,3.582218,4.160738,5.846653
FBgn0275436,PheRS-m,2R,+,13968308,13969902,15.019004,17.444542,24.512999
FBgn0033887,St4,2R,-,13969910,13971263,7.101437,9.02659,12.684128
FBgn0033888,CG18568,2R,-,13971325,13972834,308.511932,438.482391,616.153687
FBgn0033889,CG6701,2R,-,13972984,13980165,49.628235,63.319866,88.976807
FBgn0033890,Ctf4,2R,-,13980362,13983317,7.187077,8.347775,11.730259
FBgn0033891,CG8067,2R,+,13983395,13984893,5.545547,7.509044,10.551679
FBgn0020620,RN-tre,2R,-,13984815,13990707,6.900237,15.446788,21.705763
FBgn0002643,mam,2R,+,13991203,14060356,0.7909,2.418381,3.3983
FBgn0263539,mir-4978,2R,-,14005860,14006006,0,0,0
FBgn0033893,CG18371,2R,+,14028620,14029096,165.601685,192.346008,270.283813
FBgn0040752,Prosap,2R,-,14060456,14140902,1.080137,1.288023,1.809925
FBgn0259183,CG42287,2R,+,14090325,14090972,45.591255,52.954147,74.41095
FBgn0259184,CG42288,2R,+,14091031,14091814,175.689804,204.306198,287.09024
FBgn0033897,Rcd1,2R,-,14148263,14153123,11.140269,14.381978,20.209497
FBgn0086895,pea,2R,+,14153153,14157106,1.118245,1.298839,1.825124
FBgn0040751,CG13018,2R,-,14157050,14157488,15.126864,17.56982,24.689039
FBgn0033899,CG13016,2R,+,14157762,14159434,9.388543,10.904773,15.323342
FBgn0033900,CysRS-m,2R,-,14159096,14161262,154.539322,208.703751,293.269653
FBgn0033901,O-fut1,2R,+,14161430,14163054,0,0,0
FBgn0033902,eIF3m,2R,-,14163066,14164825,54.752201,72.954803,102.515793
FBgn0033903,CG8323,2R,+,14165051,14166991,6.859568,7.967374,11.195721
FBgn0033904,CG18327,2R,+,14166982,14168233,0.071457,0.082997,0.116627
FBgn0033905,CG18324,2R,+,14168786,14170233,1.490654,1.731391,2.432944
FBgn0265499,asRNA:CR44368,2R,-,14168844,14170917,0.119216,0.142913,0.200821
FBgn0033906,ReepB,2R,+,14170462,14172998,15.516421,42.09462,59.151184
FBgn0033907,mRpS16,2R,-,14172986,14173596,11.640008,13.519844,18.99803
FBgn0000289,cg,2R,+,14173693,14182838,4.997238,8.628636,12.124925
FBgn0050069,CG30069,2R,+,14185204,14198368,0.489329,0.568355,0.79865
FBgn0033911,VGAT,2R,-,14198478,14201249,0,0,0
FBgn0005613,Sox15,2R,-,14201390,14212413,0,0,0
FBgn0033912,RpS23,2R,-,14215096,14216627,36.055492,65.505959,92.048714
FBgn0262407,mir-308,2R,-,14215802,14215864,0,0,0
FBgn0033913,CG8468,2R,+,14219898,14230620,0,0,0
FBgn0261276,Opa1,2R,-,14230611,14235449,4.664062,5.883337,8.267241
FBgn0262427,mir-1016,2R,-,14233130,14233187,0,0,0
FBgn0033915,CG8485,2R,-,14235787,14239703,6.575263,8.214499,11.542981
FBgn0033916,Usp20-33,2R,+,14239932,14243655,85.22641,98.990288,139.100754
FBgn0033917,SmydA-1,2R,+,14243778,14246066,0.692221,0.804013,1.129796
FBgn0010241,Mdr50,2R,+,14246966,14252597,0,0,0
FBgn0001220,Hsc70-5,2R,-,14252598,14256192,198.836411,241.787979,339.759491
FBgn0033918,CG8531,2R,+,14256493,14258787,212.6082,246.94397,347.004669
FBgn0027538,beta4GalNAcTA,2R,+,14259030,14261150,1.260846,1.46447,2.057867
FBgn0033919,CG8547,2R,-,14261206,14267919,2.469136,3.038297,4.269403
FBgn0261270,SelD,2R,-,14268772,14270658,4.161632,5.818777,8.176521
FBgn0261269,conv,2R,+,14270729,14275495,1.552153,1.802822,2.533319
FBgn0263397,Ih,2R,+,14276130,14300095,0.673168,2.850408,4.005381
FBgn0033921,tej,2R,-,14300103,14302353,0.558702,0.648931,0.911875
FBgn0085408,Shroom,2R,+,14308142,14351802,0.368367,1.756991,2.468916
FBgn0033924,CG8613,2R,+,14352231,14355674,7.347855,8.534517,11.99267
FBgn0033925,CG8617,2R,-,14355769,14357281,39.014309,45.315037,63.676502
FBgn0033926,Arc1,2R,-,14357927,14360297,7.499777,8.710975,12.240626
FBgn0033927,CR10102,2R,-,14360433,14361780,4.63629,5.385041,7.567038
FBgn0033928,Arc2,2R,+,14361924,14362825,0.2949,0.342526,0.481316
FBgn0033929,Tfb1,2R,+,14363048,14365473,10.375919,12.22578,17.179617
FBgn0085471,CG34442,2R,+,14366798,14367874,0,0,0
FBgn0050067,Obp50a,2R,-,14370331,14371116,0.616758,0.74803,1.051129
FBgn0050073,Obp50b,2R,+,14371186,14373006,39.632889,46.033516,64.686111
FBgn0050072,Obp50c,2R,+,14371186,14373006,0,0,0
FBgn0050074,Obp50d,2R,+,14373108,14373808,3.816014,4.432292,6.228239
FBgn0085214,CG34185,2R,-,14373829,14374395,0,0,0
FBgn0033931,Obp50e,2R,-,14374462,14375385,0,0,0
FBgn0050075,CG30075,2R,+,14375921,14376677,4.954481,5.754619,8.086368
FBgn0033932,Dh44-R1,2R,+,14378097,14385359,0,0,0
FBgn0033933,CG10104,2R,+,14390696,14392209,8.883091,10.317692,14.498378
FBgn0265500,lncRNA:CR44369,2R,+,14408453,14408960,5.19685,6.03613,8.481946
FBgn0033934,CG17385,2R,-,14409295,14411572,6.453858,10.866399,15.26942
FBgn0033935,Sin1,2R,+,14411825,14413851,4.388752,5.097526,7.163023
FBgn0033936,Achl,2R,+,14420324,14424764,0.03175,0.038345,0.053882
FBgn0013725,phyl,2R,-,14427336,14432337,0.351278,0.408009,0.573332
FBgn0266815,lncRNA:CR45277,2R,-,14433430,14433895,5.362661,6.228719,8.752571
FBgn0284250,Oaz,2R,+,14435899,14465881,0.079445,0.121101,0.170171
FBgn0267824,PRAS40,2R,+,14481187,14497312,0.865881,1.005719,1.413232
FBgn0024698,Cpsf160,2R,-,14497347,14503488,0,0,0
FBgn0261823,Asx,2R,+,14503958,14512493,9.942514,13.84875,19.460207
FBgn0033942,Cpr51A,2R,-,14512559,14515211,6.686636,7.766513,10.913473
FBgn0050197,CG30197,2R,+,14514030,14514992,0.715177,0.830677,1.167263
FBgn0265974,ttv,2R,+,14526267,14587917,2.053437,4.968914,6.982298
FBgn0050076,CG30076,2R,-,14544150,14546372,0,0,0
FBgn0264540,CG43919,2R,-,14553765,14554309,10.054852,11.678689,16.410847
FBgn0010397,LamC,2R,-,14570810,14575771,2.861224,3.43984,4.833649
FBgn0033943,CG12869,2R,+,14591203,14595617,0.570799,0.681399,0.957498
FBgn0019938,RpI1,2R,-,14595611,14601216,0.760339,0.883132,1.240974
FBgn0050077,Blos1,2R,+,14601278,14602010,1.983704,2.304068,3.237667
FBgn0003742,tra2,2R,-,14602004,14604337,14.321583,21.175625,29.755903
FBgn0263487,scaRNA:PsiU5-44,2R,-,14602986,14603124,4.100719,4.762976,6.692915
FBgn0033945,CG12868,2R,-,14604549,14605297,3.077035,3.57397,5.022128
FBgn0053469,CG33469,2R,-,14605652,14606302,0.201229,0.233727,0.328432
FBgn0053468,CG33468,2R,-,14606307,14606980,0,0,0
FBgn0026427,Su(var)2-HP2,2R,-,14607154,14618118,3.186899,3.701576,5.20144
FBgn0010638,Sec61beta,2R,+,14618771,14619681,85.284088,99.057281,139.194901
FBgn0033948,CG12863,2R,-,14619798,14621320,1.764291,2.04922,2.879556
FBgn0083123,Uhg5,2R,+,14621601,14624498,2.295792,2.666558,3.747036
FBgn0082951,snoRNA:Me18S-C1366,2R,+,14621782,14621881,0,0,0
FBgn0082940,snoRNA:Me28S-C3227a,2R,+,14622088,14622167,0,0,0
FBgn0082939,snoRNA:Me28S-C3227b,2R,+,14622330,14622409,0,0,0
FBgn0082926,snoRNA:Me28S-U1848,2R,+,14622570,14622649,0,0,0
FBgn0082950,snoRNA:Me18S-G1952,2R,+,14622802,14622877,0,0,0
FBgn0082952,snoRNA:Me18S-A1061,2R,+,14623042,14623117,0,0,0
FBgn0082941,snoRNA:Me28S-A992,2R,+,14623276,14623346,0,0,0
FBgn0082931,snoRNA:Me28S-G2703a,2R,+,14623517,14623607,1,1.161498,1.632132
FBgn0082930,snoRNA:Me28S-G2703b,2R,+,14623764,14623850,0,0,0
FBgn0082929,snoRNA:Me28S-G2703c,2R,+,14624007,14624091,0,0,0
FBgn0082919,snoRNA:Or-CD4,2R,+,14624253,14624330,0,0,0
FBgn0033949,CG10131,2R,+,14629910,14631023,1.362949,1.583062,2.224513
FBgn0033951,CG10139,2R,+,14645270,14646344,4.586443,6.43391,9.040905
FBgn0033952,Adgf-E,2R,-,14656798,14658755,139.666107,162.221893,227.953537
FBgn0033953,CG12861,2R,-,14664246,14665356,2576.132324,2992.172119,4204.588379
FBgn0033954,CG12860,2R,-,14665641,14666817,2602.918457,3023.28418,4248.306641
FBgn0033955,CG12866,2R,+,14668391,14671675,15.770252,18.70705,26.287071
FBgn0020269,mspo,2R,-,14671396,14713622,0.07326,0.085091,0.11957
FBgn0050479,CG30479,2R,-,14674465,14678136,0,0,0
FBgn0050480,CG30480,2R,-,14674606,14678136,0,0,0
FBgn0033958,jef,2R,-,14739359,14745335,0.245816,0.285515,0.401204
FBgn0010388,Dro,2R,+,14745961,14746714,0.200265,0.494045,0.694231
FBgn0012042,AttA,2R,+,14747362,14748215,0,0,0
FBgn0041581,AttB,2R,+,14749223,14750165,0,0,0
