id_eggnog,id_string_HS,id_string_MM,id_string_DM,HS_up,MM_up,DM_up,HS_down,MM_down,DM_down,id_gene_HS,gene_HS,biotype_HS,n_genes_HS,id_gene_MM,gene_MM,biotype_MM,n_genes_MM,id_gene_DM,gene_DM,biotype_DM,n_genes_DM,annotation
3BEAF,9606.ENSP00000315006,10090.ENSMUSP00000022036,7227.FBpp0289410,False,True,True,True,False,False,ENSG00000137860,SLC28A2,protein_coding,1,ENSMUSG00000021553,Slc28a3,protein_coding,1,FBgn0033371,CNT1,protein_coding,1,nucleoside:sodium symporter activity
3BEQ1,9606.ENSP00000289119,10090.ENSMUSP00000002549,7227.FBpp0087661,False,False,True,True,True,False,ENSG00000158201,ABHD3,protein_coding,1,ENSMUSG00000002475,Abhd3,protein_coding,1,FBgn0033382,Hydr1,protein_coding,1,abhydrolase domain-containing protein
3BEV2,9606.ENSP00000354610,10090.ENSMUSP00000070368,"7227.FBpp0086136,7227.FBpp0086155",True,True,"True,True",False,True,"False,False",ENSG00000240038,AMY2B,protein_coding,1,ENSMUSG00000074264,Amy1,protein_coding,1,"FBgn0000078,FBgn0000079","Amy-d,Amy-p","protein_coding,protein_coding",2,alpha-amylase
3BF67,9606.ENSP00000418529,10090.ENSMUSP00000086542,7227.FBpp0289272,False,False,True,True,True,False,ENSG00000088833,NSFL1C,protein_coding,1,ENSMUSG00000027455,Nsfl1c,protein_coding,1,FBgn0259729,CG42383,protein_coding,1,negative regulation of protein localization to centrosome
3BFJ9,9606.ENSP00000339449,10090.ENSMUSP00000021287,7227.FBpp0076646,True,True,True,True,False,False,ENSG00000166596,CFAP52,protein_coding,1,ENSMUSG00000020904,Cfap52,protein_coding,1,FBgn0035724,CG10064,protein_coding,1,"WD domain, G-beta repeat"
3BFQK,9606.ENSP00000370803,10090.ENSMUSP00000102167,7227.FBpp0077044,True,True,True,True,True,False,ENSG00000103540,CCP110,protein_coding,1,ENSMUSG00000033904,Ccp110,protein_coding,1,FBgn0031191,Cp110,protein_coding,1,ciliary basal body organization
3BG3K,9606.ENSP00000289388,10090.ENSMUSP00000095303,7227.FBpp0303714,True,True,True,False,False,False,ENSG00000158428,CATIP,protein_coding,1,ENSMUSG00000073650,Catip,protein_coding,1,FBgn0028903,CG13243,protein_coding,1,Ciliogenesis associated TTC17 interacting protein
3BG4D,9606.ENSP00000280605,"10090.ENSMUSP00000002025,10090.ENSMUSP00000022529",7227.FBpp0074898,True,"True,False",True,True,"False,True",False,ENSG00000151005,TKTL2,protein_coding,1,"ENSMUSG00000025519,ENSMUSG00000021957","Tktl2,Tkt","protein_coding,protein_coding",2,FBgn0036784,CG5103,protein_coding,1,Transketolase
3BGT7,"9606.ENSP00000280706,9606.ENSP00000302393","10090.ENSMUSP00000032373,10090.ENSMUSP00000103267","7227.FBpp0297097,7227.FBpp0304375","False,False","False,True","True,True","True,True","True,False","False,False","ENSG00000166800,ENSG00000171989","LDHAL6A,LDHAL6B","protein_coding,protein_coding",2,"ENSMUSG00000030246,ENSMUSG00000063229","Ldhb,Ldha","protein_coding,protein_coding",2,"FBgn0033856,FBgn0001258","CG13334,Ldh","protein_coding,protein_coding",2,belongs to the LDH MDH superfamily
3BGYQ,9606.ENSP00000354830,10090.ENSMUSP00000058896,7227.FBpp0075899,False,True,False,True,False,True,ENSG00000145358,DDIT4L,protein_coding,1,ENSMUSG00000046818,Ddit4l,protein_coding,1,FBgn0041094,scyl,protein_coding,1,negative regulation of signal transduction
3BH2J,9606.ENSP00000307241,10090.ENSMUSP00000022268,7227.FBpp0084735,False,True,True,True,False,False,ENSG00000168291,PDHB,protein_coding,1,ENSMUSG00000021748,Pdhb,protein_coding,1,FBgn0039635,Pdhb,protein_coding,1,pyruvate dehydrogenase (acetyl-transferring) activity
3BHI6,9606.ENSP00000363329,10090.ENSMUSP00000081574,7227.FBpp0300818,False,False,False,True,True,True,ENSG00000136868,SLC31A1,protein_coding,1,ENSMUSG00000066150,Slc31a1,protein_coding,1,FBgn0062413,Ctr1A,protein_coding,1,High affinity copper uptake protein
3BHS2,9606.ENSP00000293845,10090.ENSMUSP00000114381,7227.FBpp0080766,True,True,True,True,False,False,ENSG00000161973,CCDC42,protein_coding,1,ENSMUSG00000045915,Ccdc42,protein_coding,1,FBgn0032768,CG17564,protein_coding,1,Coiled-coil domain-containing protein
3BHSR,9606.ENSP00000425786,10090.ENSMUSP00000079208,"7227.FBpp0078752,7227.FBpp0082200",False,True,"True,True",True,False,"False,False",ENSG00000197826,CFAP299,protein_coding,1,ENSMUSG00000057816,Cfap299,protein_coding,1,"FBgn0031720,FBgn0038122","CG14013,CG8138","protein_coding,protein_coding",2,Domain of unknown function (DUF4464)
3BI22,9606.ENSP00000413575,10090.ENSMUSP00000003720,7227.FBpp0084605,False,False,False,True,True,True,ENSG00000005469,CROT,protein_coding,1,ENSMUSG00000003623,Crot,protein_coding,1,FBgn0039543,CG12428,protein_coding,1,carnitine O-octanoyltransferase
3BIBY,9606.ENSP00000401399,10090.ENSMUSP00000035092,7227.FBpp0305215,True,False,False,True,True,True,ENSG00000172936,MYD88,protein_coding,1,ENSMUSG00000032508,Myd88,protein_coding,1,FBgn0033402,Myd88,protein_coding,1,myeloid differentiation primary response protein MyD88
3BPSW,9606.ENSP00000355480,10090.ENSMUSP00000027775,7227.FBpp0071498,True,True,True,False,False,False,ENSG00000203666,EFCAB2,protein_coding,1,ENSMUSG00000026495,Efcab2,protein_coding,1,FBgn0034592,CG9406,protein_coding,1,calcium ion binding
3BQD6,9606.ENSP00000216225,10090.ENSMUSP00000023036,7227.FBpp0300874,False,False,False,True,True,True,ENSG00000100387,RBX1,protein_coding,1,ENSMUSG00000022400,Rbx1,protein_coding,1,FBgn0025638,Roc1a,protein_coding,1,NEDD8 transferase activity
3BRFU,9606.ENSP00000412894,10090.ENSMUSP00000023924,7227.FBpp0084928,True,False,True,True,True,False,ENSG00000163684,RPP14,protein_coding,1,ENSMUSG00000023156,Rpp14,protein_coding,1,FBgn0039744,CG15526,protein_coding,1,tRNA 5'-leader removal
3BT8J,9606.ENSP00000238618,10090.ENSMUSP00000008966,7227.FBpp0290228,True,True,True,False,False,False,ENSG00000119640,ACYP1,protein_coding,1,ENSMUSG00000008822,Acyp1,protein_coding,1,FBgn0085190,CG34161,protein_coding,1,"Acylphosphatase 1, erythrocyte (common) type"
3BTCU,9606.ENSP00000297258,10090.ENSMUSP00000029046,7227.FBpp0099728,False,False,True,True,True,False,ENSG00000164687,FABP5,protein_coding,1,ENSMUSG00000027533,Fabp5,protein_coding,1,FBgn0037913,fabp,protein_coding,1,regulation of retrograde trans-synaptic signaling by endocanabinoid
