id_gene,Stock Number,Transgene,status,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously known to affect male fertility/sperm cells,Function,Previous ref to RNAi working,Other species infertility phenotype?,Flybase link
FBgn0029928,57560,P{TRiP.HMC04877}attP40,Screened,25,24,12,12,30,27,32,30,,No,Unknown (predicted transcription regulatory region sequence-specific DNA binding and zinc ion binding).,No ,, http://flybase.org/reports/FBgn0029928
FBgn0030377,v42397,P{GD15382}v42397,Screened,15,15,30,27,30,28,29,28,,No,Unknown (predicted calcium ion binding and unfolded protein binding).,Yes ,Mouse infertility 1/3 (Clgn). Defective sperm migration and interaction with the egg (http://www.jbc.org/content/286/7/5639.full),http://flybase.org/reports/FBgn0030377
FBgn0263005,v26517,P{GD11291}v26517,Screened,25,25,12,12,20,16,29,29,,No,Predicted acetylgalactosaminyltransferase,Yes,,http://flybase.org/reports/FBgn0263005
FBgn0022800,v1089,P{GD155}v1089,Screened,11,10,28,28,26,25,30,28,,No,Receptor tyrosine kinase (RTK) that is a direct target of the transcription factor encoded by grh.,Yes ,Mouse infertility 1/2 (for Fgfr3). No detailed phenotype (https://www.jax.org/strain/014182),http://flybase.org/reports/FBgn0022800
FBgn0025936,v6545,P{GD39}v6545,Screened,27,26,26,24,25,23,25,25,,No,Axon guidance molecule involved in the development of the nervous system.,Yes ,,http://flybase.org/reports/FBgn0025936
FBgn0265174,v8143,P{GD3514}v8143/TM3,Screened,24,23,25,24,29,29,27,24,,No,Phosphatidylinositol glycan anchor biosynthesis class V (predicted dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity and mannosyltransferase activity).,Yes ,,http://flybase.org/reports/FBgn0265174
FBgn0053196,v25933,P{GD4443}v44029,Screened,16,14,25,25,15,14,21,21,,No,"Extracellular protein involved in epidermal-cuticle attachment, aposition of wing surfaces and trachea development.",Yes ,,http://flybase.org/reports/FBgn0053196
FBgn0086558,38967,P{TRiP.HMS01881}attP40/CyO,Screened,22,20,20,19,25,24,25,25,,No,Unknown (predicted protein tag and ubiquitin protein ligase binding).,No ,Mouse infertility 3/3 (Ubb). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2223379/), http://flybase.org/reports/FBgn0086558
FBgn0033766,v36023,P{GD14021}v36023,Screened,28,27,29,29,21,18,26,26,,No,Nucleoporin (predicted structural constituent of nuclear pore).,Yes ,,http://flybase.org/reports/FBgn0033766
FBgn0026616,v108043,P{KK106563}VIE-260B,Screened,30,28,26,26,26,25,30,28,,No,Mannosidase involved in cellular encapsulation response and glycoprotein metabolism.,No ,Mouse infertility 2/2 (Man2a2). Defective adhesion between somatic and germ cells (https://www.ncbi.nlm.nih.gov/pubmed/12417422),http://flybase.org/reports/FBgn0026616
FBgn0033528,v108456,P{KK108391}VIE-260B,Screened,29,27,31,29,30,29,25,25,,No,"Protein that, together with the product of Trax, forms the Trsn/Trax complex, a ribonuclease that facilitates RNA-induced silencing complex (RISC) activation.",Yes ,,http://flybase.org/reports/FBgn0033528
FBgn0001197,28966,P{TRiP.HM05177}attP2,Screened,30,25,25,25,25,25,31,31,,"Yes. Required for male germ line stem cell maintenance, but not for differentiation (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003903)",Protein that is present in about 25% of nucleosomes: it influences chromatin structure and gene regulation and is also phosphorylated in response to DNA damage in the less conserved C-terminal tail.,Yes ,, http://flybase.org/reports/FBgn0001197
FBgn0034688,v108555,P{KK100776}VIE-260B,Screened,24,23,30,29,22,20,25,25,,No,Unknown (predicted phosphatase activity and protein carboxyl O-methyltransferase activity).,No ,,http://flybase.org/reports/FBgn0034688
FBgn0022935,33371,P{TRiP.HMS00244}attP2,Screened,25,25,15,14,34,33,29,27,,No,Unknown (predicted DNA-binding transcription factor activity and zinc ion binding).,No ,, http://flybase.org/reports/FBgn0022935
FBgn0032017,v22565,P{KK109968}VIE-260B,Screened,17,17,30,28,29,28,16,15,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0032017
FBgn0037297,v104878,P{KK107829}VIE-260B,Screened,34,32,27,26,15,14,30,30,,No,Unknown (predicted Rab GTPase binding).,No ,,http://flybase.org/reports/FBgn0037297
FBgn0032517,v27848,P{GD12130}v27848,Screened,18,18,21,19,15,15,15,14,,No,Unknown (predicted  RNA polymerase III general transcription initiation factor activity).,Yes ,,http://flybase.org/reports/FBgn0032517
FBgn0019932,v101753,P{KK109424}VIE-260B,Screened,22,21,29,29,28,27,28,26,,No,Protein involved in defense response to Gram-negative bacterium.,No ,,http://flybase.org/reports/FBgn0019932
FBgn0260945,35177,"P{TRiP.GL00047}attP2/TM3, Sb[1]",Screened,20,17,23,23,19,19,25,25,,No,Kinase that functions downstream of the product of Tor in the regulation of autophagy.,Yes ,, http://flybase.org/reports/FBgn0260945
FBgn0034585,v26368,P{GD11194}v26368,Screened,23,22,20,19,18,17,22,22,,No,Rab GTPase binding protein involved in regulation of endosome size.,Yes ,,http://flybase.org/reports/FBgn0034585
FBgn0038721,v108953,P{KK102353}VIE-260B,Screened,29,28,26,26,30,29,25,23,,Presumably yes. Partial sterility (http://www.jbc.org/content/290/4/2521.full),Chloride ion channel activated by calcium and heat belonging to the TMEM16 family.,Yes ,,http://flybase.org/reports/FBgn0038721
FBgn0035842,v28050,P{GD12257}v28050/TM3,Screened,20,18,25,25,21,21,25,24,,No,Unknown (predicted RNA binding and transcription termination site sequence-specific DNA binding).,Yes ,Mouse infertility. Crossing-over defects (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003435),http://flybase.org/reports/FBgn0035842
FBgn0000370,v2934,P{GD1407}v2934,Screened,29,29,25,25,25,24,30,27,,No,Member of the CREB/ATF family of basic-leucine zipper transcription factors.,Yes ,Mouse infertility. Due to defect in the genital ducts (https://watermark.silverchair.com/biolreprod0371.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApQwggKQBgkqhkiG9w0BBwagggKBMIICfQIBADCCAnYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMkbA44JVb2TQoUYJ1AgEQgIICRyGv-dm9L5_yedAXmX9oR2_lRfiCVi6hHfEOv5G3jTjYIEhtbCGh5rP0cgnKSUFlHtw_R52S0KJX90O2SPc42nZExMYK548dz_Jki6DDGT0RGRJvyEMZ3C9Z0mXTBRWQvyyDKzae9EY9X3-af0ewe0iQrAJONg4TUoKr3RWSbkGibnsMNWbEH8Jeu1f53SosHloxwzJvKQX5yvrL8CL9i5eQn2L72JXYGrIdCMPwc8qHaaz88IXe5PYk71C04TotrlyMKQObdViB9dx94tuHzpodEjB3gJKCN3_-UC0mlvYXycsDzc36myYAMXgRS1IkRa59-IYu2Hsp-xCrNsy35OeSFs-pdfHqirPztVC2c3B7pKZRP-FXWwbwMgkVhXfmLxvq880qnC6uPywrBafizXPr312R4RHvxOTEMb1LCDFTmq5ZsO6eLJIzol7KqW7vmS2hcs-x9LdXlDc0AEmmqvedJmYSU_LcbHNkN1o5HmG2U2L6-esbXHMO-JSmx3IWN-Zn7Evui69UexammzTzU5rGUDRBfENCNTgL6ad88qrWu120Bet6W3YJ2RuAEa7BGgVepr7LEWJ-p4MApuietIxmBgPtLO2oQOQwBI2iiYq3slk6DiaUXaC0p-oqptdpmp5LzqQcnDPM8eHxauUrEvunnKbWxqmP0MQbVDj4LVQyW7Jxh9ntBHPrAiPVsD5SV-msgrQVjdEwXDGzGp4dGGa3rMejNx8qX0yZSwTthxTJ4uNEM6tQDnJ1m2bEIBOvhaUAthJur0Y),http://flybase.org/reports/FBgn0000370
FBgn0039560,v27445,P{GD11677}v27445,Screened,28,27,31,29,30,29,19,19,,No,Unknown (predicted protein phosphatase 2A binding and protein phosphatase inhibitor activity).,Yes ,,http://flybase.org/reports/FBgn0039560
FBgn0031144,60094,P{TRiP.HMC05088}attP40,Screened,25,25,16,15,30,28,25,25,,No,Unknown (predicted DNA-binding transcription repressor activity and RNA polymerase II-specific).,No ,, http://flybase.org/reports/FBgn0031144
FBgn0030008,57423,P{TRiP.HMC04730}attP40,Screened,27,27,25,24,27,26,25,24,,No,Unknown (predicted DNA-binding transcription repressor activity and RNA polymerase II-specific).,No ,, http://flybase.org/reports/FBgn0030008
FBgn0062442,33749,P{TRiP.HMS01088}attP2,Screened,25,25,25,25,26,23,28,28,,No,"Unknown (predicted 2 iron, 2 sulfur cluster binding).",No ,, http://flybase.org/reports/FBgn0062442
FBgn0001089,50680,P{TRiP.HMC03081}attP2,Screened,16,15,28,28,25,25,25,24,,No,Putative digestive enzyme that hydrolyses _-galactosides into monosaccharides.,No ,, http://flybase.org/reports/FBgn0001089
FBgn0029512,v18528,P{GD8542}v18528,Screened,30,28,28,27,28,28,15,15,,No,One of two subunits (along with the product of Uba2) of the heterodimeric SUMO activating enzyme.,Yes ,,http://flybase.org/reports/FBgn0029512
FBgn0015622,v100740,P{KK108301}VIE-260B,Screened,30,27,28,28,25,25,22,22,,No,Endoplasmic reticulum chaperone that colocalizes and genetically interacts with the sodium channel subunit encoded by para.,Yes ,Mouse infertility 3/3 (Clgn). Defective sperm migration and interaction with the egg (http://www.jbc.org/content/286/7/5639.full),http://flybase.org/reports/FBgn0015622
FBgn0036052,v38407,P{GD7097}v38407,Screened,31,29,30,30,30,29,27,27,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0036052
FBgn0029993,63642,P{TRiP.HMJ30209}attP40,Screened,25,25,11,10,29,29,29,29,,No,"Unknown (predicted to contribute to ATP-dependent microtubule motor activity, plus-end-directed and dynein heavy/light chain binding).",No ,, http://flybase.org/reports/FBgn0029993
FBgn0010314,35156,P{TRiP.GL00024}attP2,Screened,26,25,19,19,22,22,20,19,,No,"Protein that promotes progression through female meiosis and the mitotic divisions of the early embryo (interacts with the product of Cdk1 and is required in prometaphase for spindle assembly, and at the metaphase to anaphase transition for the destruction of the cyclin encoded by CycA).",Yes ,Mouse infertility 1/2 (for Cks2). Meiotic defects (https://science.sciencemag.org/content/300/5619/647.long), http://flybase.org/reports/FBgn0010314
FBgn0036300,42956,P{TRiP.HMS02649}attP40,Screened,16,16,22,21,30,30,26,25,,No,Unknown (predicted phosphomannomutase activity).,Yes ,, http://flybase.org/reports/FBgn0036300
FBgn0262739,33727,P{TRiP.HMS00610}attP2,Screened,15,15,24,23,28,27,25,25,,"Yes, but with somatic driver. Leads to crystals in spermatocytes but no reference to fertility defects (http://jcs.biologists.org/content/joces/128/11/2070.full.pdf)","Argonaute/Piwi family protein, which interacts with microRNAs to form miRNA-induced silencing complexes (miRISCs).",Yes ,, http://flybase.org/reports/FBgn0262739
FBgn0037085,60002,P{TRiP.HMC04994}attP40,Screened,12,12,27,26,27,27,30,29,,No,Unknown (predicted nucleic acid binding and zinc ion binding).,No ,, http://flybase.org/reports/FBgn0037085
FBgn0035065,v38154,P{GD5963}v38154/TM3,Screened,32,31,28,28,30,29,24,24,,No,Unknown (predicted serine-type endopeptidase activity).,No ,Mouse infertility. Spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3573110/),http://flybase.org/reports/FBgn0035065
FBgn0031696,35260,P{TRiP.GL00151}attP2,Screened,16,15,18,18,21,21,26,26,,No,Spindle checkpoint protein regulating chromosome congression (also contributes to clathrin-dependent endocytosis of pathogens).,Yes ,, http://flybase.org/reports/FBgn0031696
FBgn0032015,v4253,P{GD998}v4253/TM3,Screened,21,21,27,27,19,18,23,23,,No,Oligosaccharide transferase _ subunit (involved in cell migration and cellular encapsulation response).,Yes ,,http://flybase.org/reports/FBgn0032015
FBgn0035627,v45091,P{GD6697}v45091,Screened,20,20,25,24,26,26,29,29,,"Yes, but only using a degron system. Meiotic defects (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005996)","Endoprotease that, together with the product of thr, forms a complex which cleaves a subunit of the cohesin complex during meiosis, thereby allowing separation of the sister chromatids.",Yes ,,http://flybase.org/reports/FBgn0035627
FBgn0000119,v4819,P{GD2617}v4819/CyO,Screened,25,24,23,23,25,25,21,21,,No,Type I trans-membrane protein,Yes,,http://flybase.org/reports/FBgn0000119
FBgn0031818,v7907,P{GD949}v7907,Screened,21,21,26,25,19,19,12,12,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0031818
FBgn0026787,v7245,P{GD775}v7245,Screened,17,17,28,28,28,27,26,26,,No,Unknown (predicted potassium-proton antiporter activity and sodium-proton antiporter activity).,Yes ,Mouse infertility. Spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491771/),http://flybase.org/reports/FBgn0026787
FBgn0033624,v36388,P{GD14535}v36388,Screened,31,31,25,25,20,20,29,28,,No,Unknown (predicted death domain binding).,Yes ,,http://flybase.org/reports/FBgn0033624
FBgn0028467,v110416,P{KK101530}VIE-260B,Screened,30,29,28,28,24,24,23,23,,No,Unknown (predicted ubiquitin-ubiquitin ligase activity).,No ,,http://flybase.org/reports/FBgn0028467
FBgn0031873,v106922,P{KK101151}VIE-260B,Screened,20,20,29,29,17,17,25,25,,No,Protein that contributes to histone acetylation and is involved in chromatin organization and RNA interference.,No ,,http://flybase.org/reports/FBgn0031873
FBgn0085395,25819,P{TRiP.JF01837}attP2,Crossed 11/11,,,,,,,,,,No,"Unknown (predicted delayed rectifier potassium channel activity, voltage-gated cation channel activity and voltage-gated potassium channel activity).",No ,, http://flybase.org/reports/FBgn0085395
FBgn0039209,25983,P{TRiP.JF02005}attP2,Crossed 11/11,,,,,,,,,,No,Transcription factor that shuttles between cytoplasm and nucleus depending on the state of the activity of the product of Tor.,No ,, http://flybase.org/reports/FBgn0039209
FBgn0016041,26005,P{TRiP.JF02030}attP2,Crossed 11/11,,,,,,,,,,No,"Protein predicted to be a channel component of the TOM complex, which is involved in protein import into mitochondria.",Yes ,, http://flybase.org/reports/FBgn0016041
FBgn0035690,26239,P{TRiP.JF02137}attP2,Crossed 11/11,,,,,,,,,,No,Unknown (predicted DNA-binding transcription factor activity).,No ,, http://flybase.org/reports/FBgn0035690
FBgn0028671,26290,P{TRiP.JF02059}attP2,Crossed 11/11,,,,,,,,,,No,"Subunit of the V0 domain of V-ATPase, which acidifies autophagosomes and lysosomes in neurons.",Yes ,, http://flybase.org/reports/FBgn0028671
FBgn0037931,26710,P{TRiP.JF02250}attP2,Crossed 11/11,,,,,,,,,,No,Transcription regulatory region sequence-specific DNA binding; zinc ion binding.,No ,, http://flybase.org/reports/FBgn0037931
FBgn0028387,27027,P{TRiP.JF02348}attP2,Crossed 11/11,,,,,,,,,,No,Histone acetyl transferase involved in epigenetic mechanisms of transcriptional control and regulation of replication origin activity. ,Yes ,, http://flybase.org/reports/FBgn0028387
FBgn0033984,27036,P{TRiP.JF02362}attP2,Crossed 11/11,,,,,,,,,,No,Unknown (belongs to the LAP (LRR and PDZ) protein family).,No ,, http://flybase.org/reports/FBgn0033984
FBgn0066101,27249,P{TRiP.JF02551}attP2,Crossed 11/11,,,,,,,,,,No,Transmembrane receptor that regulates immune response by mediating clearance of the protein encoded by nec from the hemolymph.,No ,, http://flybase.org/reports/FBgn0066101
FBgn0045073,27263,P{TRiP.JF02567}attP2,Crossed 11/11,,,,,,,,,,No,"Endomasplic reticulum-membrane protein that is an essential component of the store-operated calcium entry mechanism, which in neurons regulates flight.",Yes ,, http://flybase.org/reports/FBgn0045073
FBgn0285937,27299,P{TRiP.JF02609}attP2,Crossed 11/11,,,,,,,,,,Yes. Cytokinesis defects (https://www.molbiolcell.org/doi/10.1091/mbc.e03-08-0603),"Small GTPase which regulates endoplasmic reticulum to Golgi and intra Golgi trafficking through different effectors. It has been involved in Notch signaling, cell migration, autophagy and cytokinesis.",No ,, http://flybase.org/reports/FBgn0285937
FBgn0266670,27526,P{TRiP.JF02676}attP2,Crossed 11/11,,,,,,,,,,"Yes. Reduced fertility, with defects in male germ line stem cells and spermatocytes (https://www.jstage.jst.go.jp/article/csf/34/1/34_08042/_html/-char/em)",Receptor protein-tyrosine kinase,Yes ,, http://flybase.org/reports/FBgn0283499
FBgn0015075,27531,P{TRiP.JF02682}attP2,Crossed 11/11,,,,,,,,,,Yes. Defective spermiogenesis (https://www.sciencedirect.com/science/article/pii/S0012160615302050?via%3Dihub),"Member of the DEAD box family of RNA helicases that bind and unwind double-stranded RNA. Ddx1 product depletion is associated with small size and aberrant gametogenesis, possibly through alternative splicing of Sirup RNA transcript.",No ,, http://flybase.org/reports/FBgn0015075
FBgn0039140,27695,P{TRiP.JF02775}attP2,Crossed 11/11,,,,,,,,,,No,Atypical GTPase and Ca[2+] sensor on the outer mitochondrial membrane that is vital for mitochondrial homeostasis and microtubule-based mitochondrial transport. It mediates linkage to kinesin and dynein motors through interactions with Milton/TRAK adaptor proteins.,Yes ,, http://flybase.org/reports/FBgn0039140
FBgn0011640,27703,P{TRiP.JF02783}attP2,Crossed 11/11,,,,,,,,,,No,"An essential RNA-binding protein of the RNA recognition motif (RRM) class. It is implicated in both RNA splicing and translational control. It contributes to oogenesis, tissue development and circadian behavior.",No ,, http://flybase.org/reports/FBgn0011640
FBgn0015790,27730,P{TRiP.JF02812}attP2,Crossed 11/11,,,,,,,,,,Yes. Cytokinesis defects (https://www.molbiolcell.org/doi/full/10.1091/mbc.e07-05-0415),Rab type protein.,Yes ,, http://flybase.org/reports/FBgn0015790
FBgn0264922,28034,P{TRiP.JF02869}attP2,Crossed 11/11,,,,,,,,,,No,Only Drosophila SUMO family protein. It is required for embryonic patterning and mitosis. It localizes to the nucleus during interphase and to the kinetochores and midbodies during mitosis.,Yes ,, http://flybase.org/reports/FBgn0264922
FBgn0000108,28043,P{TRiP.JF02878}attP2,Crossed 11/11,,,,,,,,,,No,_ amyloid protein precursor-like,Yes ,, http://flybase.org/reports/FBgn0000108
FBgn0003386,28346,P{TRiP.JF02982}attP2,Crossed 11/11,,,,,,,,,,No,Voltage-gated potassium channel (Kv3.1) that mediates a non-inactivating potassium current open at resting membrane potential.,Yes ,, http://flybase.org/reports/FBgn0003386
FBgn0262872,28385,P{TRiP.JF03022}attP2,Crossed 11/11,,,,,,,,,,No,Microtubule motor activity and myosin binding.,Yes ,, http://flybase.org/reports/FBgn0262872
FBgn0004419,28566,P{TRiP.HM05052}attP2,Crossed 11/11,,,,,,,,,,No,Unknown (protein and RNA binding).,Yes ,, http://flybase.org/reports/FBgn0004419
FBgn0250785,28599,P{TRiP.HM05087}attP2,Crossed 11/11,,,,,,,,,,No,Protein involved in tracheal system development and septate junction assembly.,Yes ,, http://flybase.org/reports/FBgn0250785
FBgn0014931,28630,P{TRiP.JF03045}attP2,Crossed 11/11,,,,,,,,,,No,"Unknown (predicted DNA-binding transcription factor activity, transcription regulatory region sequence-specific DNA binding and zinc ion binding).",Yes ,, http://flybase.org/reports/FBgn0014931
FBgn0003210,28668,P{TRiP.JF03083}attP2,Crossed 11/11,,,,,,,,,,No,Beta3-adaptin subunit of the Adaptor protein-3 (AP-3) complex involved in biogenesis of lysosome-related organelles.,No ,, http://flybase.org/reports/FBgn0003210
FBgn0039936,28896,P{TRiP.HM05106}attP2,Crossed 11/11,,,,,,,,,,No,"Protein that is necessary for maintenance of neuromuscular homeostasis. It regulates protein translation, insulin/IGF signaling pathway and autophagy.",No ,, http://flybase.org/reports/FBgn0039936
FBgn0264273,28932,P{TRiP.HM05143}attP2,Crossed 11/11,,,,,,,,,,No,"Member of the Semaphorins family, which are membrane and secreted short-range signaling proteins.",No ,, http://flybase.org/reports/FBgn0264273
FBgn0284221,29436,P{TRiP.JF03372}attP2,Crossed 11/11,,,,,,,,,,No,"Member of the Semaphorins family, which are membrane and secreted short-range signaling proteins. The product of Sema5c is involved in olfactory behavior.",No ,, http://flybase.org/reports/FBgn0284221
FBgn0003612,29448,P{TRiP.JF03384}attP2,Crossed 11/11,,,,,,,,,,No,Member of the PIAS protein family that regulates chromosome structure and function.,Yes ,, http://flybase.org/reports/FBgn0003612
FBgn0034975,29518,P{TRiP.HM05195}attP2,Crossed 11/11,,,,,,,,,,No,"MYST family histone acetyltransferase that acetylates lysine residues on histones, including H3K23, to regulate gene transcription. It contributes to stem cell self-renewal, oogenesis and neural development.",Yes ,, http://flybase.org/reports/FBgn0034975
FBgn0011260,29519,P{TRiP.HM05196}attP2,Crossed 11/11,,,,,,,,,,No,Secreted member of the semaphorin protein family. It utilizes the receptor encoded by PlexB to mediate both repulsive and attractive axon guidance.,No ,, http://flybase.org/reports/FBgn0011260
FBgn0019890,31090,P{TRiP.JF01554}attP2,Crossed 11/11,,,,,,,,,,No,Protein involved in mRNA catabolism.,No ,, http://flybase.org/reports/FBgn0019890
FBgn0003862,31092,P{TRiP.JF01557}attP2,Crossed 11/11,,,,,,,,,,No,"Chromatin-modifying enzyme involved in gene regulation. It methylates the histone encoded by His3 on Lys-4, promoting its further acetylation. This activity antagonises the epigenetic silencing by Polycomb group proteins. It contributes to axon guidance, eye development and germ cell migration.",Yes ,, http://flybase.org/reports/FBgn0003862
FBgn0001104,31133,P{TRiP.JF01608}attP2,Crossed 11/11,,,,,,,,,,No,DNA and protein binding (predicted G protein-coupled receptor binding).,No ,, http://flybase.org/reports/FBgn0001104
FBgn0051092,31150,P{TRiP.JF01627}attP2,Crossed 11/11,,,,,,,,,,No,Transmembrane receptor.,No ,, http://flybase.org/reports/FBgn0051092
FBgn0053087,31151,P{TRiP.JF01628}attP2,Crossed 11/11,,,,,,,,,,No,Unknown (predicted calcium ion binding).,No ,, http://flybase.org/reports/FBgn0053087
FBgn0000499,31306,P{TRiP.JF01253}attP2,Crossed 11/11,,,,,,,,,,No,Phosphatidic acid binding.,Yes ,, http://flybase.org/reports/FBgn0000499
FBgn0025463,31337,P{TRiP.JF01295}attP2,Crossed 11/11,,,,,,,,,,No,Protein required for Brahma complex function. It represses neuroblast proliferation and regulates heterochromatin assembly.,Yes ,, http://flybase.org/reports/FBgn0025463
FBgn0034989,31376,P{TRiP.JF01343}attP2,Crossed 11/11,,,,,,,,,,No,Ubiquitin conjugating enzyme binding.,No ,, http://flybase.org/reports/FBgn0034989
FBgn0003731,31525,P{TRiP.JF01083}attP2,Crossed 11/11,,,,,,,,,,"Yes, but in somatic cells. Required for normal stem cell regulation (https://www.nature.com/articles/35037606)","Transmembrane tyrosine kinase receptor for signaling ligands in the TGF_ family, which utilises the intracellular MAP kinase pathway.",Yes ,, http://flybase.org/reports/FBgn0003731
FBgn0285944,31676,P{TRiP.JF01469}attP2,Crossed 11/11,,,,,,,,,,No,Essential gene required for locomotor activity. It encodes an _-subunit of voltage-gated sodium channels. It is required for generation of sodium-dependent action potentials.,Yes ,, http://flybase.org/reports/FBgn0285944
FBgn0000212,31712,P{TRiP.HM04019}attP2,Crossed 11/11,,,,,,,,,,No,"ATPase subunit of the Brahma chromatin-remodeling complex, which is involved in transcription regulation (regulates Egfr signalling, stem cell proliferation, and innate immune response).",Yes ,, http://flybase.org/reports/FBgn0000212
FBgn0032373,31723,P{TRiP.HM04032}attP2,Crossed 11/11,,,,,,,,,,No,Vacuolar H+ ATPase 100kD subunit 5.,No ,, http://flybase.org/reports/FBgn0032373
FBgn0261573,31743,P{TRiP.HM04053}attP2,Crossed 11/11,,,,,,,,,,No,DNA binding factor that controls transcription in cooperation with other transcriptional regulators.,Yes ,, http://flybase.org/reports/FBgn0261573
FBgn0035402,31886,P{TRiP.JF02163}attP2,Crossed 11/11,,,,,,,,,,No,Essential enzyme that cleaves unanchored lysine48-linked polyubiquitin chains.,Yes ,, http://flybase.org/reports/FBgn0035402
FBgn0015239,31990,P{TRiP.JF03424}attP2,Crossed 11/11,,,,,,,,,,No,Protein induced above a basal level by 20-hydroxyecdysone (nuclear receptor activity; RNA polymerase II regulatory region sequence-specific DNA binding).,No ,, http://flybase.org/reports/FBgn0015239
FBgn0003656,31993,P{TRiP.JF03428}attP2,Crossed 11/11,,,,,,,,,,No,Transmembrane protein that hydrolyzes phosphatidylcholine and binds to and inhibits the C3 catalytic subunit of protein kinase A.,Yes ,, http://flybase.org/reports/FBgn0003656
FBgn0001215,32351,P{TRiP.HMS00342}attP2,Crossed 11/11,,,,,,,,,,No,"Nuclear RNA-binding protein. It controls hnRNA stability, splicing, IRES-dependent translation, and translational repression. Regulates tissue polarity patterning and germ-line stem cell fate.",Yes ,, http://flybase.org/reports/FBgn0001215
FBgn0003090,32413,P{TRiP.HMS00408}attP2,Crossed 11/11,,,,,,,,,,No,Core component of the Frizzled-dependent planar polarity complex.,No ,, http://flybase.org/reports/FBgn0003090
FBgn0086908,32445,P{TRiP.HMS00443}attP2,Crossed 11/11,,,,,,,,,,No ,"Histone methyltransferase involved in epigenetic regulation of gene expression. It contributes to stem cell asymmetric division, oogenesis and wing disc development.",Yes ,, http://flybase.org/reports/FBgn0086908
FBgn0024291,32481,P{TRiP.HMS00484}attP2,Crossed 11/11,,,,,,,,,,No,NAD+-dependent deacetylase that functions during euchromatic and heterochromatic gene silencing.,Yes,"Mouse infertility. Meiotic defects, but germ cell-independent (https://www.ncbi.nlm.nih.gov/pubmed/18987333)", http://flybase.org/reports/FBgn0024291
FBgn0022724,v27870 (v27868 is LETHAL),P{GD12141}v27868/TM3,Order v27870,,,,,,,,,,Yes. Defective male germ line stem cell differentiation (https://www.nature.com/articles/ncomms12149),Involved in positive regulation of transcription by RNA polymerase II,Yes,,http://flybase.org/reports/FBgn0022724
FBgn0260746,41655,P{TRiP.GL01237}attP2,Ordered,,,,,,,,,,No,Beta-galactosidase.,No ,,http://flybase.org/reports/FBgn0260746
FBgn0038788,32482,P{TRiP.HMS00485}attP2,Ordered,,,,,,,,,,No,NAD-dependent histone deacetylase in the class I of the Sirtuin family.,No ,, http://flybase.org/reports/FBgn0038788
FBgn0037163,32515,P{TRiP.HMS00519}attP2,Ordered,,,,,,,,,,No,"Protein involved in phototransduction, response to light intensity and thermotaxis.",No ,, http://flybase.org/reports/FBgn0037163
FBgn0027055,33369,P{TRiP.HMS00242}attP2,Ordered,,,,,,,,,,"Yes, but in somatic cells. Required for normal germ line-soma contacts (https://www.sciencedirect.com/science/article/pii/S0012160614005910?via%3Dihub)",Subunit 3 of the COP9 signalosome (CSN) and is essential for the stability of the complex.,Yes ,, http://flybase.org/reports/FBgn0027055
FBgn0015949,33378,P{TRiP.HMS00252}attP2,Ordered,,,,,,,,,,Yes. Regulates spermatogonia growth (https://www.sciencedirect.com/science/article/pii/S1673852717300176?via%3Dihub),Canonical poly(A) polymerase required for the nuclear poly(A) tail synthesis at the mRNA 3'-end.,Yes ,Mouse infertility (Papolb). Spermiogenesis defects (https://science.sciencemag.org/content/298/5600/1999.long), http://flybase.org/reports/FBgn0015949
FBgn0015277,33384,P{TRiP.HMS00261}attP2,Ordered,,,,,,,,,,No,Lipid kinase required for formation of Phosphatidylinositol 3-phosphate.,Yes ,, http://flybase.org/reports/FBgn0015277
FBgn0260972,33429,P{TRiP.HMS00316}attP2,Ordered,,,,,,,,,,No,Unknown (predicted to contribute to AMP-activated protein kinase activity).,Yes ,, http://flybase.org/reports/FBgn0260972
FBgn0000629,33659,P{TRiP.HMS00066}attP2,Ordered,,,,,,,,,,No,Catalytic component of the Polycomb Repressive Complex 2 (PRC2) methyltransferase that methylates histone H3 lysine27. Silences developmental genes to determine specific differentiated cell identities.,Yes ,Mouse infertility (for Ezh1 + Ezh2). Spermatogonia and meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5389884/), http://flybase.org/reports/FBgn0000629
