id_gene,gene,Stock Number,Transgene,Status,Human variants in cohort,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously reported in DM?,Function,Previous ref to RNAi working?,Other species infertility phenotype?,Our DM pheno code,Others DM pheno code,MM pheno code,HS pheno code,Flybase link,Origin of gene
FBgn0027866,CG9776,v107811,P{KK109675}VIE-260B,Screened,,30,0,30,0,27,7,30,0,No sperm. Individualization defect.,No,Predicted to be involved in the regulation of transcription,No ,,B,,,,http://flybase.org/reports/FBgn0027866,"Original ""pool"""
FBgn0022959,yps,v27472,P{GD11722}v27472,Screened,,25,5,26,2,31,0,28,0,No sperm. Individualization defect.,No,Cold-shock domain protein involved in post-transcriptional regulation of mRNA,Yes,Mouse infertility (for Ybx2). Spermiogenesis defects (https://www.sciencedirect.com/science/article/pii/S030372070500465X?via%3Dihub),B,,B,,http://flybase.org/reports/FBgn0022959,"Original ""pool"""
FBgn0001217,Hsc70-2,v19202,P{GD8848}v19202,Screened,,29,0,32,0,28,0,28,8,No sperm.,No,Heat shock protein cognate 2,Yes,Mouse infertility 2/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),C,,A,,http://flybase.org/reports/FBgn0001217,"Original ""core"""
FBgn0021967,ND-PDSW,v35437,P{GD12532}v35437,Screened,,32,7,33,3,23,0,28,0,No sperm. Individualization defect.,No,NADH dehydrogenase (ubiquinone) PDSW subunit,Yes,,B,,,,http://flybase.org/reports/FBgn0021967,"Original ""pool"""
FBgn0039943,CG17168,55703,P{TRiP.HMC03926}attP40,Screened,,30,8,31,2,24,0,33,0,No sperm. (Late) individualization defect.,No,Predicted mRNA binding,Yes ,,B,,,,http://flybase.org/reports/FBgn0039943,"Original ""pool"""
FBgn0052670,Rab9Fb,34374,P{TRiP.HMS01364}attP2,Screened,,35,0,38,0,35,0,23,8,No sperm. Individualization defect.,No,Predicted GTPase,No ,,B,,,,http://flybase.org/reports/FBgn0052670,"Original ""pool"""
FBgn0039205,CG13623,v110643,P{KK108298}VIE-260B,Screened,Heterozygous - missense,28,4,35,8,31,0,25,0,Few sperm with low motility or immotile/dead.,No,"Predicted to have 2 iron, 2 sulfur cluster binding activity",No,,C,,,,http://flybase.org/reports/FBgn0039205,"Original ""pool"""
FBgn0034535,CG11110,v106768,P{KK108425}VIE-260B,Screened,,24,0,17,0,27,10,18,1,"Few sperm, all motile. Disorganized testis (from the apical domain onwards)",No,Mitochondrial inner membrane protease subunit 2,No ,Mouse infertility (Immp2l). Age-dependent spermatogenesis defects (https://academic.oup.com/biolreprod/article/78/4/601/2629830),D,,E,,http://flybase.org/reports/FBgn0034535,"Original ""pool"""
FBgn0261792,snRNP-U1-C,55358,P{TRiP.HMC04045}attP40,Screened,,29,0,31,0,25,11,32,0,Mostly immotile/dead sperm. Few have low motility.,No,U1 snRNA-containing protein that initiates spliceosome assembly,Yes ,,C,,,,http://flybase.org/reports/FBgn0261792,"Original ""pool"""
FBgn0024285,Srp54,v51088,P{GD10663}v51088,Screened,,32,0,32,3,25,2,25,7,No visible sperm. Individualization defect.,No,Regulator of alternative splicing,Yes ,,B,,,,http://flybase.org/reports/FBgn0024285,"Original ""pool"""
FBgn0004924,Top1,55314,P{TRiP.HMC04001}attP40,Screened,,29,7,25,6,16,0,29,0,No sperm. Individualization defect.,No,Topoisomerase,Yes ,,B,,,,http://flybase.org/reports/FBgn0004924,"Original ""pool"""
FBgn0038234,mRpL11,v21480,P{GD10483}v21480,Screened,,26,0,27,0,31,9,30,6,No sperm. Individualization defect.,No,Mitochondrial ribosomal protein L11,Yes ,,B,,,,http://flybase.org/reports/FBgn0038234,"Original ""pool"""
FBgn0040087,p115,v103350,P{KK100066}VIE-260B,Screened,,27,4,28,0,29,0,25,9,"Few sperm, all with low motility.",No,Key protein of the early secretory pathway,Yes ,,C,,,,http://flybase.org/reports/FBgn0040087,"Original ""pool"""
FBgn0039875,sip3,v6870,P{GD3145}v6870,Screened,,25,0,10,2,7,0,25,10,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,Ubiquitin ligase,Yes ,,B,,,,http://flybase.org/reports/FBgn0039875,"Original ""pool"""
FBgn0003862,trx,33703,P{TRiP.HMS00580}attP2,Screened,Homozygous - missense,26,6,30,0,27,6,29,5,No detectable phenotype.,No,Trithorax,No,,F,,,,http://flybase.org/reports/FBgn0003862,"Original ""pool"""
FBgn0039004,Nup133,58290,P{TRiP.HMJ22393}attP40 ,Screened,,28,0,25,0,27,0,25,20,"Few sperm, with regular motility. Individualization defect.",No,Nucleoporin 133kD,No,,B,,,,http://flybase.org/reports/FBgn0039004,"Original ""pool"""
FBgn0265512,mlt,v105480,P{KK107715}VIE-260B,Screened,,31,0,26,0,25,6,23,13,Very few sperm. Individualization defect.,Yes. Individualization defects (https://www.tandfonline.com/doi/full/10.4161/fly.21533),Positive regulator of microtubule depolymerization,No,,B,B,,,http://flybase.org/reports/FBgn0265512,"Original ""core"""
FBgn0024804,Dbp80,34682,P{TRiP.HMS01160}attP2,Screened,,19,3,22,5,52,13,95,23,Few sperm. Spermiogenesis defect.,No,RNA helicase,No ,Mouse infertility (Ddx25). Spermiogenesis defect (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3245878/),B,,B,,http://flybase.org/reports/FBgn0024804,"Original ""pool"""
FBgn0033341,MrgBP,v41402 - discarded stock,P{GD6572}v41402,Screened,,19,6,25,12,17,0,25,3,"Few sperm, all immotile/dead. Individualization defect.",No,Chromatin modification-related protein Eaf7/MRGBP,Yes,,B,,,,http://flybase.org/reports/FBgn0033341,"Original ""pool"""
FBgn0010258,Rbp4,v29116,P{GD14281}v29116,Screened,,13,0,26,3,25,10,15,7,Few sperm. Most immotile/dead.,Yes. Weak male fertility (http://flybase.org/reports/FBal0030105.html),RNA-binding protein,No,,C,G,,,http://flybase.org/reports/FBgn0010258,"Original ""core"""
FBgn0040696,CG18675,v105164 - discarded stock,P{KK102730}VIE-260B,Screened,,11,0,25,25,13,0,25,0,"Non-motile sperm. Testis filled with sperm bundles, few manage to individualize.",No,Cilia- and flagella-associated protein 298,No,,B,,,,http://flybase.org/reports/FBgn0040696,"Original ""pool"""
FBgn0266599,Hsc70-4,54810,P{TRiP.HMJ21529}attP40,Screened,,25,7,17,0,23,18,23,0,No detectable phenotype.,No,Heat shock protein cognate 4,Yes ,Mouse infertility 3/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),F,,A,,http://flybase.org/reports/FBgn0266599,"Original ""pool"""
FBgn0039634,alpha-Man-Ib,66930,P{TRiP.HMS05396}attP40,Screened,,25,2,25,16,25,11,25,0,No detectable phenotype.,No,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase",No,,F,,,,http://flybase.org/reports/FBgn0039634,"Original ""pool"""
FBgn0261710,nocte,v48632,P{GD16347}v48632,Screened,,25,10,25,5,25,10,26,6,"Few sperm, weakly motile.",No,Protein involved in temperature compensation of the circadian clock,Yes,,C,,,,http://flybase.org/reports/FBgn0261710,"Original ""pool"""
FBgn0003612,Su(var)2-10,29448,P{TRiP.JF03384}attP2,Screened,,30,0,25,20,27,8,29,5,"With sperm, decreased motility.",No,JAK/STAT pathway regulator,Yes ,,C,,,,http://flybase.org/reports/FBgn0003612,"Original ""pool"""
FBgn0037549,CG7878,60871,P{TRiP.HMJ22536}attP40,Screened,Homozygous - stop gain,27,10,32,5,26,9,30,13,Few sperm with low motility or immotile/dead.,No,RNA helicase,No,,C,,,,http://flybase.org/reports/FBgn0037549,"Original ""pool"""
FBgn0262483,Rbp,54828,P{TRiP.HMJ21547}attP40,Screened,Heterozygous - missense,32,1,30,9,25,12,30,16,"Few sperm, mostly immotile/dead. Possible individualization defect.",No,Active zone protein involved in neuromuscular synaptic transmission and presynaptic active zone organization,No,,C,,,,http://flybase.org/reports/FBgn0262483,"Original ""pool"""
FBgn0038578,MED17,v105264,P{KK105730}VIE-260B,Screened,,30,8,29,8,27,13,28,9,"Few sperm, with decreased motility.",Yes. Partial meiotic arrest (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005701),Activating transcription factor binding and transcription coregulator activity,No,,C,A,,,http://flybase.org/reports/FBgn0038578,"Original ""pool"""
FBgn0034893,mRpL43,v104466,P{KK109027}VIE-260B,Screened,,28,12,21,9,25,5,25,8,Few sperm. Individualization defect.,No,Mitochondrial ribosomal protein L43,No ,,B,,,,http://flybase.org/reports/FBgn0034893,"Original ""pool"""
FBgn0053303,CG33303,64909,P{TRiP.HMC05782}attP40,Screened,,25,19,25,10,25,5,25,2,Reduced sperm numbers. Impaired individualization.,No,Predicted dolichyl-diphosphooligosaccharide-protein glycotransferase activity,No,,B,,,,http://flybase.org/reports/FBgn0053303,"Original ""pool"""
FBgn0263603,Zn72D,v34969 - lost stock,P{GD11579}v34969,Screened,,25,7,25,12,26,15,25,4,"Reduced sperm numbers, with regular motility.",Yes. Spermiogenesis defects (https://onlinelibrary.wiley.com/doi/10.1002/arch.21612),"Predicted to be involved in mRNA splicing, via spliceosome",Yes,,C,B,,,http://flybase.org/reports/FBgn0263603,"Original ""pool"""
FBgn0038233,HtrA2,v24104,P{GD13932}v24104,Screened,,29,4,24,7,29,11,26,18,Few sperm. Most are immotile/dead.,Yes. Individualization defects (https://www.jneurosci.org/content/28/53/14500),Serine-type endopeptidase,Yes,,C,B,,,http://flybase.org/reports/FBgn0038233,"Original ""core"""
FBgn0010812,unc-45,v33560,P{GD9815}v33560,Screened,,20,0,26,20,25,0,15,12,No sperm. Individualization defect.,No,Scaffold protein,Yes,,B,,,,http://flybase.org/reports/FBgn0010812,"Original ""pool"""
FBgn0011824,CG4038,v21775 - lost stock,P{GD11196}v21775,Screened,,25,15,25,18,30,1,29,8,"Few sperm, with normal motility.",No,Predicted to be involved in snoRNA guided rRNA pseudouridine synthesis,Yes ,,C,,,,http://flybase.org/reports/FBgn0011824,"Original ""pool"""
FBgn0001216,Hsc70-1,v106510,P{KK111450}VIE-260B,Screened,,29,0,31,0,23,0,25,0,Meiotic arrest,Yes. Meiotic arrest (https://onlinelibrary.wiley.com/doi/10.1111/dgd.12734),Heat shock protein cognate 1,Yes,Mouse infertility 1/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),A,A,A,,http://flybase.org/reports/FBgn0001216,"Original ""core"""
FBgn0000499,dsh,31306,P{TRiP.JF01253}attP2,Screened,,22,4,34,7,25,19,25,14,Defective sperm (immotile/dead).,Yes. Spermiogenesis defects (https://journals.biologists.com/dev/article/146/17/dev179275/222984/Combover-interacts-with-the-axonemal-component),Wnt-TCF Signaling Pathway Core Component,Yes ,,C,B,,,http://flybase.org/reports/FBgn0000499,"Original ""pool"""
FBgn0038872,Nelf-A,v43211,P{GD5620}v43211,Screened,,25,10,26,7,25,19,25,10,"Few sperm, weakly motile.",No,Essential component of the NELF complex (that negatively regulates the elongation of transcription by RNA polymerase II),Yes,,C,,,,http://flybase.org/reports/FBgn0038872,"Original ""pool"""
FBgn0016041,Tom40,26005,P{TRiP.JF02030}attP2,Screened,,26,10,27,7,28,16,30,19,"Few sperm, low motility.",No,Mitochondrial protein-transporting ATPase,Yes ,,C,,,,http://flybase.org/reports/FBgn0016041,"Original ""pool"""
FBgn0028671,Vha100-1,26290,P{TRiP.JF02059}attP2,Screened,,30,10,25,7,32,16,19,15,Reduced sperm numbers.,No,Vacuolar H+ ATPase 100kD subunit 1,Yes ,,C,,,,http://flybase.org/reports/FBgn0028671,"Original ""pool"""
FBgn0263697,Uba3,v105141,P{KK102057}VIE-260B,Screened,,11,6,30,16,22,13,14,4,"Few sperm, immotile or weakly motile.",No,Ubiquitin-like activating enzyme 3,Yes ,,C,,,,http://flybase.org/reports/FBgn0263697,"Original ""pool"""
FBgn0033984,Lap1,27036,P{TRiP.JF02362}attP2,Screened,,25,5,25,9,24,19,16,10,Reduced sperm numbers (some immotile/dead). ,No,Predicted to be involved in establishment or maintenance of cell polarity and protein transport,No ,,C,,,,http://flybase.org/reports/FBgn0033984,"Original ""pool"""
FBgn0066101,LpR1,27249,P{TRiP.JF02551}attP2,Screened,,25,8,25,11,31,18,27,19,No detectable phenotype.,No,Lipophorin receptor 1,No ,,F,,,,http://flybase.org/reports/FBgn0066101,"Original ""pool"""
FBgn0035691,CG7386,v15618,P{GD5126}v15618,Screened,Heterozygous - missense (19 DM genes),25,10,30,23,30,14,25,11,"Few sperm, weakly motile.",No,Predicted transcription factor,Yes,,C,,,,http://flybase.org/reports/FBgn0035691,"Original ""core"""
FBgn0041164,armi,31604,P{TRiP.JF01388}attP2,Screened,,11,2,17,15,27,15,25,12,No detectable phenotype.,Yes. Defects in small RNA pathways (https://www.sciencedirect.com/science/article/pii/S0092867404002181?via%3Dihub),RNA helicase,No ,Mouse infertility (Mov10l1). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2900665/),F,E,A,,http://flybase.org/reports/FBgn0041164,"Original ""pool"""
FBgn0028360,Cdc7,36625,P{TRiP.GL00585}attP2,Screened,,27,12,25,9,29,26,24,10,Slight reduction in sperm numbers and motility.,No,Cdc7 kinase,Yes ,,C,,,,http://flybase.org/reports/FBgn0028360,"Original ""pool"""
FBgn0263855,BubR1,35329,P{TRiP.GL00236}attP2,Screened,,20,7,20,11,10,6,30,19,No detectable phenotype.,Yes. Meiotic defects (https://www.genetics.org/content/167/1/207),Protein serine/threonine kinase - mitotic checkpoint control protein,Yes,Mouse infertility (Bub1). Spermatogonia proliferation defects (https://www.sciencedirect.com/science/article/pii/S1534580707003085?via%3Dihub),F,A,D,,http://flybase.org/reports/FBgn0263855,"Original ""core"""
FBgn0037931,CG18476,26710,P{TRiP.JF02250}attP2,Screened,Heterozygous - missense (19 DM genes),25,13,26,9,33,15,26,22,Sperm with lower motility.,No,Zinc finger C2H2 transcription factor,No ,,C,,,,http://flybase.org/reports/FBgn0037931,"Original ""pool"""
FBgn0001977,CIAPIN1,44644 - discarded stock,P{TRiP.HMC02348}attP2,Screened,,30,13,25,12,54,29,25,18,No detectable phenotype.,Yes. Male sterility reported (https://anatomypubs.onlinelibrary.wiley.com/doi/full/10.1002/dvdy.23951),Cytokine induced apoptosis inhibitor 1,No,,F,G,,,http://flybase.org/reports/FBgn0001977,"Original ""pool"""
FBgn0033507,CG12909,44654,P{TRiP.HMC02419}attP2,Screened,,22,14,30,18,26,13,30,15,"Few sperm, low motility.",No,Predicted DNA binding activity,No,,C,,,,http://flybase.org/reports/FBgn0033507,"Original ""pool"""
FBgn0035647,CG10486,v107903,P{KK105599}VIE-260B,Screened,,25,10,30,17,30,19,30,20,No detectable phenotype.,No,Predicted ion transporter,No,,F,,,,http://flybase.org/reports/FBgn0035647,"Original ""core"""
FBgn0035724,CG10064,v106172,P{KK100997}VIE-260B,Screened,,8,6,17,8,25,10,20,13,"Few sperm, weakly motile. Disorganized distal testis.",No,Predicted to be involved in cilium assembly,No,,B,,,,http://flybase.org/reports/FBgn0035724,"Original ""core"""
FBgn0039337,MED28,v34316,P{GD10722}v34316,Screened,,29,17,25,15,25,13,28,16,No detectable phenotype.,No,Mediator complex subunit 28,Yes,,F,,,,http://flybase.org/reports/FBgn0039337,"Original ""pool"""
FBgn0031099,CG17065,v32845,P{GD9278}v32845,Screened,Heterozygous - start lost; missense,25,13,25,5,30,23,30,24,No detectable phenotype.,No,N-acetylglucosamine-6-phosphate deacetylase,Yes ,,F,,,,http://flybase.org/reports/FBgn0031099,"Original ""pool"""
FBgn0034849,CG3500,v19703 - lost stock,P{GD2177}v19703,Screened,,25,23,30,5,30,11,19,16,Few sperm. Individualization defect.,No,Predicted to have COPII adaptor activity,Yes ,,B,,,,http://flybase.org/reports/FBgn0034849,"Original ""pool"""
FBgn0011224,heph,55655 - discarded stock,P{TRiP.HMC03805}attP40,Screened,,25,25,7,4,29,0,25,19,Few sperm. Individualization defect.,Yes. Individualization defect (https://www.embopress.org/doi/10.1093/emboj/cdg301),Nucleo-cytoplasmic shuttling protein that regulates osk mRNA translation,Yes,,B,B,,,http://flybase.org/reports/FBgn0011224,"Original ""pool"""
FBgn0028539,Eato,65080,P{TRiP.HMC06027}attP40,Screened,Heterozygous - frameshift; stop gain; stop loss (multiple; 10 DM genes),25,13,25,5,26,24,26,18,"Reduced sperm numbers. Meiotic cell death, escaping cells can develop into gametes",No,Predicted to have ATPase-coupled transmembrane transporter activity and lipid transporter activity,Yes,Mouse infertility 3/10 (for Abca1). Overexpression only. Unspecified male infertility defects (https://www.jci.org/articles/view/33622).,A,,G,,http://flybase.org/reports/FBgn0028539,"Original ""pool"""
FBgn0004419,me31B,28566,P{TRiP.HM05052}attP2,Screened,,25,18,30,10,30,14,22,18,No detectable phenotype.,Yes. Regulator of spermatogonia dedifferentiation (https://journals.biologists.com/jcs/article/134/14/jcs258757/271009/me31B-regulates-stem-cell-homeostasis-by),ATP-dependent RNA helicase,Yes ,,F,D,,,http://flybase.org/reports/FBgn0004419,"Original ""pool"""
FBgn0037018,CG4042,v26377,P{GD11199}v26377,Screened,,25,21,25,8,26,16,30,17,"Few sperm, regular motility.",No,Predicted to contribute to ubiquitin-protein transferase activity,Yes ,,C,,,,http://flybase.org/reports/FBgn0037018,"Original ""pool"""
FBgn0045862,btz,v38722,P{GD7855}v38722,Screened,,26,16,25,15,25,14,25,16,No detectable phenotype.,No,Component of the exon junction complex,Yes,,F,,,,http://flybase.org/reports/FBgn0045862,"Original ""pool"""
FBgn0033371,CNT1,v7374,P{GD1888}v7374/TM3,Screened,,30,13,30,25,27,14,30,20,"Few sperm, with impaired motility.",No,Predicted to have nucleoside:sodium symporter activity,Yes,,C,,,,http://flybase.org/reports/FBgn0033371,"Original ""core"""
FBgn0250816,AGO3,35232,P{TRiP.GL00117}attP2,Screened,,23,14,30,20,34,21,29,17,No detectable phenotype.,"Yes. Male semi-sterile, with crystal accumulation in spermatocytes (https://www.sciencedirect.com/science/article/pii/S0092867409004528?via%3Dihub)",Argonaute 3,Yes ,Mouse infertility 2/3 (for either Piwil1 or Piwil2). Meiotic (Piwil2) or spermiogenesis (Piwil1) defects (https://dev.biologists.org/content/131/4/839.long and https://www.sciencedirect.com/science/article/pii/S153458070200165X?via%3Dihub),F,A,A/B,,http://flybase.org/reports/FBgn0250816,"Original ""pool"""
FBgn0015277,Pi3K59F,33384,P{TRiP.HMS00261}attP2,Screened,,29,12,24,10,26,25,24,17,Sperm with lower motility.,No,Phosphatidylinositol 3-kinase 59F,Yes ,,C,,,,http://flybase.org/reports/FBgn0015277,"Original ""pool"""
FBgn0035987,CG3689,32883,P{TRiP.HMS00671}attP2,Screened,,25,13,25,20,25,18,25,12,Reduced/no sperm motility,"Yes, but in overexpression. Spermatogonia overgrowth (https://www.sciencedirect.com/science/article/pii/S1673852717300176?via%3Dihub)",Predicted to be involved in mRNA processing,Yes,,C,D,,,http://flybase.org/reports/FBgn0035987,"Original ""pool"""
FBgn0011754,PhKgamma,35311,P{TRiP.GL00214}attP2,Screened,,25,19,25,16,25,15,25,13,No detectable phenotype.,No,Phosphorylase kinase γ,Yes,,F,,,,http://flybase.org/reports/FBgn0011754,"Original ""pool"""
FBgn0030724,Nipsnap,34887,P{TRiP.HMS01232}attP2,Screened,,33,20,22,17,32,16,27,18,With sperm. Decreased or no motility.,No,Unknown,No ,,C,,,,http://flybase.org/reports/FBgn0030724,"Original ""pool"""
FBgn0039209,REPTOR,25983,P{TRiP.JF02005}attP2,Screened,,25,13,25,10,23,23,25,16,No detectable phenotype.,No,Transcription factor,No ,,F,,,,http://flybase.org/reports/FBgn0039209,"Original ""pool"""
FBgn0039373,CG5024,v109720,P{KK104727}VIE-260B,Screened,,31,21,30,17,25,14,25,20,No detectable phenotype.,No,Predicted calcium ion binding,No,,F,,,,http://flybase.org/reports/FBgn0039373,"Original ""core"""
FBgn0052006,CG32006,v47024,P{GD10430}v47024,Screened,,26,18,25,15,28,20,25,15,With sperm (defective motility),No,Predicted to have DNA-binding transcription factor activity,Yes  ,,C,,,,http://flybase.org/reports/FBgn0052006,"Original ""pool"""
FBgn0032524,Hacd2,34800,P{TRiP.HMS00109}attP2,Screened,,26,10,24,13,29,24,35,31,With sperm. Slightly lower motility.,No,3-hydroxyacyl-CoA dehydratase 2,No ,,C,,,,http://flybase.org/reports/FBgn0032524,"Original ""pool"""
FBgn0037312,CG11999,34604,P{TRiP.HMS00565}attP2,Screened,,26,20,25,14,30,15,25,21,Few sperm. Decreased or no motility.,No,Dolichyl-phosphate-mannose--protein mannosyltransferase,No ,,C,,,,http://flybase.org/reports/FBgn0037312,"Original ""pool"""
FBgn0032520,CG10859,v27322,P{GD7109}v27322,Screened,,17,13,22,15,30,16,25,18,Few sperm. Decreased motility.,No,Predicted to contribute to ATP-dependent microtubule motor activity,No,Human infertility (DNAI2). PCD (https://www.sciencedirect.com/science/article/pii/S000292970800534X?via%3Dihub),C,,,C,http://flybase.org/reports/FBgn0032520,"Original ""core"""
FBgn0000629,E(z),33659,P{TRiP.HMS00066}attP2,Screened,,30,12,40,14,22,21,27,27,With sperm. Variable motility.,No,Catalytic component of the Polycomb Repressive Complex 2 (PRC2) methyltransferase,Yes ,Mouse infertility only in double mutant (Ezh1 + Ezh2). Spermatogonia and meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5389884/),C,,D,,http://flybase.org/reports/FBgn0000629,"Original ""pool"""
FBgn0027568,Cand1,33990,P{TRiP.HMS00950}attP2,Screened,,25,24,22,15,31,10,32,24,Few sperm. Decreased motility.,No,Key assembly factor of SCF E3 ubiquitin ligase complexes,No ,,C,,,,http://flybase.org/reports/FBgn0027568,"Original ""pool"""
FBgn0035849,ERR,27085,P{TRiP.JF02431}attP2,Screened,,26,22,25,12,25,13,25,22,"Few sperm, with regular motility.","Yes. Male semi-sterile, with various testicular and germ cell defects starting at the fusome (https://www.nature.com/articles/srep40372#MOESM343)",Estrogen-related receptor,Yes,,C,D,,,http://flybase.org/reports/FBgn0035849,"Original ""pool"""
FBgn0020251,sfl,34601,P{TRiP.HMS00543}attP2,Screened,,26,19,21,15,32,23,32,18,With sperm. Decreased motility.,"Yes, but in somatic cells. Regulates testis morphogenesis (https://academic.oup.com/hmg/article/24/5/1493/796023)",[Heparan sulfate]-glucosamine N-sulfotransferase,Yes,,C,H,,,http://flybase.org/reports/FBgn0020251,"Original ""pool"""
FBgn0264785,Hph,34717,P{TRiP.HMS01196}attP2,Screened,,34,19,23,14,34,28,39,29,Few sperm. Spermiogenesis defect.,No,Prolyl-4 hydroxylase,No ,,B,,,,http://flybase.org/reports/FBgn0264785,"Original ""pool"""
FBgn0034532,CG13436,v100956,P{KK106348}VIE-260B,Screened,,27,21,19,10,30,20,26,20,Few sperm. Decreased motility.,No,Unknown,No,Mouse infertility (Cfap206). No more details (https://www.mousephenotype.org/data/genes/MGI:1916579),C,,G,,http://flybase.org/reports/FBgn0034532,"Original ""core"""
FBgn0283499,InR,35251,P{TRiP.GL00139}attP2,Screened,,25,20,29,20,28,12,31,26,Few sperm. Decreased motility.,Yes. Germ line stem cell maintenance defects  (https://www.jstage.jst.go.jp/article/csf/34/1/34_08042/_article),Component of the exocyst complex ,Yes ,,C,D,,,http://flybase.org/reports/FBgn0266670,"Original ""pool"""
FBgn0034073,CG8414,44435,P{TRiP.GLC01391}attP2,Screened,,32,22,36,19,26,20,25,20,"Few sperm, with very low motility.",No,Polynucleotide 5'-hydroxyl-kinase,No ,,C,,,,http://flybase.org/reports/FBgn0034073,"Original ""pool"""
FBgn0026777,Rad23,44465,P{TRiP.GLC01621}attP2,Screened,,27,21,37,15,30,25,26,20,Slightly lower motility,No,Shuttle -or bridge- protein (for interaction with the proteasome),No ,,C,,,,http://flybase.org/reports/FBgn0026777,"Original ""pool"""
FBgn0022987,qkr54B,34896,P{TRiP.HMS01241}attP2,Screened,,22,17,22,16,29,18,30,20,Few sperm. Decreased motility.,No,Regulator of mRNA splicing,No ,Mouse infertility 2/2 (for Khdrbs1). Meiotic and  spermiogenesis defects (http://jcb.rupress.org/content/185/2/235),C,,A,,http://flybase.org/reports/FBgn0022987,"Original ""pool"""
FBgn0038320,Sra-1,38294,P{TRiP.HMS01754}attP2,Screened,Heterozygous - missense,25,15,30,17,26,23,26,20,No detectable phenotype.,No,Component of the WAVE actin nucleator complex,Yes,,F,,,,http://flybase.org/reports/FBgn0038320,"Original ""pool"""
FBgn0050378,CG30378,v102167,P{KK111000}VIE-260B,Screened,,30,23,30,21,27,24,25,12,No detectable phenotype.,No,Predicted calcium ion binding,No,,F,,,,http://flybase.org/reports/FBgn0050378,"Original ""core"""
FBgn0035645,CG5592,v110489,P{KK103933}VIE-260B,Screened,,30,22,31,19,30,26,30,19,No detectable phenotype.,No,Predicted transmembrane transporter,No,,F,,,,http://flybase.org/reports/FBgn0035645,"Original ""core"""
FBgn0037722,CG8319,v110491,P{KK104218}VIE-260B,Screened,Heterozygous - missense (19 DM genes),25,20,28,21,30,21,30,18,No detectable phenotype.,No,Predicted transcription factor,Yes ,,F,,,,http://flybase.org/reports/FBgn0037722,"Original ""pool"""
FBgn0004838,Hrb27C,33716,P{TRiP.HMS00597}attP2,Screened,,25,11,21,19,14,11,25,18,No detectable phenotype.,No,mRNA 3'-UTR binding (DAZ-associated domain),Yes ,Mouse infertility (Dazap1). Meiotic entry defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2525968/),F,,A,,http://flybase.org/reports/FBgn0004838,"Original ""pool"""
FBgn0058191,CG40191,v107687,P{KK113613}VIE-260B,Screened,,28,23,26,16,30,22,30,21,No detectable phenotype.,No,Predicted to have cyclin-dependent protein serine/threonine kinase regulator activity,No ,,F,,,,http://flybase.org/reports/FBgn0058191,"Original ""pool"""
FBgn0028343,Ankle2,v24107,P{GD13933}v24107,Screened,,28,20,25,16,25,21,26,18,"Few sperm, regular motility.",No,Important protein for proper development of the third instar larval CNS,Yes,,C,,,,http://flybase.org/reports/FBgn0028343,"Original ""pool"""
FBgn0011596,fzo,v1405,P{GD196}v1405,Screened,,30,25,25,23,30,14,30,20,No detectable phenotype.,"Yes. Spermiogenesis defects, particularly in mitochodria (https://www.cell.com/cell/pdf/S0092-8674(00)80319-0.pdf)",Transmembrane dynamin-type GTPase,No,,F,B,,,http://flybase.org/reports/FBgn0011596,"Original ""core"""
FBgn0030456,CG4332,34352,P{TRiP.HMS01341}attP2,Screened,,22,16,23,18,28,20,33,22,Few sperm. Decreased motility.,No,Unknown,No ,,C,,,,http://flybase.org/reports/FBgn0030456,"Original ""pool"""
FBgn0023083,fray,42569,P{TRiP.HMJ02228}attP40,Screened,,20,13,25,12,25,21,27,25,No detectable phenotype.,No,Serine/threonine-protein kinase,Yes,,F,,,,http://flybase.org/reports/FBgn0023083,"Original ""pool"""
FBgn0038827,Fancd2,53329,P{TRiP.HMC03558}attP40,Screened,,29,23,29,18,24,19,28,20,No detectable phenotype.,No,Predicted DNA polymerase binding,Yes,,F,,,,http://flybase.org/reports/FBgn0038827,"Original ""pool"""
FBgn0051648,CG31648,v44226,P{GD914}v44226,Screened,,25,16,25,16,26,22,25,20,No detectable phenotype.,No,Predicted to be involved in aerobic respiration and respiratory chain complex IV assembly,Yes,,F,,,,http://flybase.org/reports/FBgn0051648,"Original ""pool"""
FBgn0085434,NaCP60E,v106350,P{KK109809}VIE-260B,Screened,Homozygous - missense,28,17,28,21,27,21,25,20,No detectable phenotype.,No,Voltage-gated calcium-selective cation channel,No ,,F,,,,http://flybase.org/reports/FBgn0085434,"Original ""pool"""
