id_gene_DM,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Previous ref to RNAi working,Other species infertility phenotype?
FBgn0011596,v1405,ORDERED,,,,,,,,,,male pheno,,,
FBgn0020930,v4659,ORDERED,,,,,,,,,,,,yes,
FBgn0022724,v27868,ORDERED,,,,,,,,,,,,yes,
FBgn0022800,v1089,ORDERED,,,,,,,,,,,,yes,
FBgn0022942,v22331,ORDERED,,,,,,,,,,,,yes,
FBgn0025936,v6545,ORDERED,,,,,,,,,,,,yes,
FBgn0026787,v7245,ORDERED,,,,,,,,,,,,yes,
FBgn0028692,v44134,ORDERED,,,,,,,,,,,,yes,
FBgn0031106,v8644,ORDERED,,,,,,,,,,,,yes,
FBgn0031519,v24747,ORDERED,,,,,,,,,,,,yes,
FBgn0031818,v7907,ORDERED,,,,,,,,,,,,yes,
FBgn0032015,v4253,ORDERED,,,,,,,,,,,,yes,
FBgn0032188,v41500,ORDERED,,,,,,,,,,,,yes,
FBgn0032517,v27848,ORDERED,,,,,,,,,,,,,
FBgn0033155,v30436,ORDERED,,,,,,,,,,,,yes,
FBgn0034585,v26368,ORDERED,,,,,,,,,,,,yes,
FBgn0035640,v25262,ORDERED,,,,,,,,,,,,yes,
FBgn0036496,v49886,ORDERED,,,,,,,,,,,,yes,
FBgn0036967,v104778,ORDERED,,,,,,,,,,,,,
FBgn0037024,v6262,ORDERED,,,,,,,,,,,,yes,
FBgn0037109,v13054,ORDERED,,,,,,,,,,,,yes,
FBgn0038499,v40219,ORDERED,,,,,,,,,,,,yes,
FBgn0038578,v44024,ORDERED,,,,,,,,,,male pheno,,yes,
FBgn0039726,v40322,ORDERED,,,,,,,,,,,,yes,
FBgn0039875,v6870,ORDERED,,,,,,,,,,,,yes,
FBgn0040228,v8057,ORDERED,,,,,,,,,,male pheno,,yes,
FBgn0041087,v4176,ORDERED,,,,,,,,,,male pheno,,yes,
FBgn0053196,v25933,ORDERED,,,,,,,,,,,,yes,
FBgn0086784,v23618,ORDERED,,,,,,,,,,,,yes,
FBgn0263005,v26517,ORDERED,,,,,,,,,,,,yes,
FBgn0263120,v3222,ORDERED,,,,,,,,,,,,yes,
FBgn0264000,v42890,ORDERED,,,,,,,,,,,,yes,
FBgn0001230,v47146,PENDING,,,,,,,,,,No,,Yes,Mouse infertility reported
FBgn0024285,v51088,PENDING,,,,,,,,,,No,,Yes,
FBgn0027866,v107811,PENDING,,,,,,,,,,,,No,
FBgn0031458,v16820,PENDING,,,,,,,,,,No,,Yes,
FBgn0033491,v23958,PENDING,,,,,,,,,,No,,Yes,
FBgn0033934,v47901,PENDING,,,,,,,,,,No,,Yes,
FBgn0035645,v110489,PENDING,,,,,,,,,,No,,No,
FBgn0035647,v107903,PENDING,,,,,,,,,,No,,No,
FBgn0035691,v15618,PENDING,,,,,,,,,,No,,Yes,
FBgn0037722,v110491,PENDING,,,,,,,,,,No,,Yes,
FBgn0260746,41655,PENDING,,,,,,,,,,No,,No,
FBgn0000108,28043,,,,,,,,,,,,,yes,
FBgn0000139,35388,,,,,,,,,,,,,yes,
FBgn0000212,31712,,,,,,,,,,,,,yes,
FBgn0000299,44520,,,,,,,,,,,,,yes,
FBgn0000326,50683,,,,,,,,,,,,,,
FBgn0000499,31306,,,,,,,,,,,,,yes,
FBgn0000579,v110090,,,,,,,,,,,,,yes,
FBgn0000629,33659,,,,,,,,,,,,,yes,
FBgn0001114,v15428,,,,,,,,,,,,,yes,
FBgn0001122,v19124,,,,,,,,,,,,,yes,
FBgn0001215,32351,,,,,,,,,,,,,yes,
FBgn0001942,33970,,,,,,,,,,,,,yes,
FBgn0002466,35392,,,,,,,,,,,,,yes,
FBgn0002778,62207,,,,,,,,,,,,,,
FBgn0002783,35630,,,,,,,,,,,,,yes,
FBgn0002899,v28072,,,,,,,,,,,,,yes,
FBgn0002905,58238,,,,,,,,,,,,,,
FBgn0002914,v37710,,,,,,,,,,,,,yes,
FBgn0002973,35045,,,,,,,,,,,,,yes,
FBgn0002989,33707,,,,,,,,,,,,,,
FBgn0003008,v25014,,,,,,,,,,,,,yes,
FBgn0003090,32413,,,,,,,,,,,,,,
FBgn0003210,28668,,,,,,,,,,,,,,
FBgn0003292,51805,,,,,,,,,,,,,,
FBgn0003386,28346,,,,,,,,,,,,,,
FBgn0003392,36921,,,,,,,,,,,,,yes,
FBgn0003450,41723,,,,,,,,,,,,,,
FBgn0003545,36623,,,,,,,,,,,,,yes,
FBgn0003607,v107477,,,,,,,,,,,,,yes,
FBgn0003612,29448,,,,,,,,,,,,,yes,
FBgn0003656,31993,,,,,,,,,,,,,yes,
FBgn0003731,31525,,,,,,,,,,,,,yes,
FBgn0003744,41591,,,,,,,,,,,,,yes,
FBgn0003862,31092,,,,,,,,,,,,,yes,
FBgn0004049,v28674,,,,,,,,,,,,,yes,
FBgn0004066,36063,,,,,,,,,,,,,,
FBgn0004107,35267,,,,,,,,,,,,,yes,
FBgn0004237,v51759,,,,,,,,,,,,,yes,
FBgn0004373,v27785,,,,,,,,,,,,,yes,
FBgn0004379,62383,,,,,,,,,,,,,,
FBgn0004391,v29072,,,,,,,,,,,,,yes,
FBgn0004419,28566,,,,,,,,,,,,,yes,
FBgn0004619,v44439,,,,,,,,,,,,,yes,
FBgn0004832,v40368,,,,,,,,,,,,,yes,
FBgn0004872,v22235,,,,,,,,,,,male pheno,,yes,
FBgn0004903,31333,,,,,,,,,,,male pheno,,,
FBgn0004915,62165,,,,,,,,,,,,,,
FBgn0004924,55314,,,,,,,,,,,,,yes,
FBgn0005411,55153,,,,,,,,,,,,,yes,
FBgn0005585,v51271,,,,,,,,,,,,,yes,
FBgn0005617,v9239,,,,,,,,,,,,,yes,
FBgn0005696,77417,,,,,,,,,,,,,,
FBgn0005777,57307,,,,,,,,,,,,,yes,
FBgn0010213,v42162,,,,,,,,,,,,,yes,
FBgn0010258,v29116,,,,,,,,,,,,,,
FBgn0010382,29314,,,,,,,,,,,,,yes,
FBgn0010389,57313,,,,,,,,,,,,,yes,
FBgn0010441,57015,,,,,,,,,,,,,yes,
FBgn0010531,62919,,,,,,,,,,,,,,
FBgn0010590,v35923,,,,,,,,,,,,,yes,
FBgn0011260,29519,,,,,,,,,,,,,,
FBgn0011586,v13360,,,,,,,,,,,,,yes,
FBgn0011640,27703,,,,,,,,,,,,,,
FBgn0011763,v12722,,,,,,,,,,,,,yes,
FBgn0011824,v21775,,,,,,,,,,,,,yes,
FBgn0014075,53027,,,,,,,,,,,,,,
FBgn0014189,33666,,,,,,,,,,,,,yes,
FBgn0014931,28630,,,,,,,,,,,,,,
FBgn0015075,27531,,,,,,,,,,,male pheno,,,
FBgn0015239,31990,,,,,,,,,,,,,,
FBgn0015277,33384,,,,,,,,,,,,,yes,
FBgn0015351,v31852,,,,,,,,,,,,,,
FBgn0015544,38371,,,,,,,,,,,,,yes,
FBgn0015572,65137,,,,,,,,,,,,,,
FBgn0015574,v100942,,,,,,,,,,,,,,
FBgn0015790,27730,,,,,,,,,,,male pheno,,yes,
FBgn0015828,62169,,,,,,,,,,,,,,
FBgn0015949,33378,,,,,,,,,,,male pheno,,yes,
FBgn0016041,26005,,,,,,,,,,,,,yes,
FBgn0016059,v107233,,,,,,,,,,,,,yes,
FBgn0016970,57548,,,,,,,,,,,,,,
FBgn0017414,v20185,,,,,,,,,,,,,yes,
FBgn0017551,v35489,,,,,,,,,,,,,yes,
FBgn0019890,31090,,,,,,,,,,,,,,
FBgn0020251,34601,,,,,,,,,,,,,yes,
FBgn0020622,36810,,,,,,,,,,,,,,
FBgn0022153,v103629,,,,,,,,,,,,,,
FBgn0022986,v26333,,,,,,,,,,,,,yes,
FBgn0022987,34896,,,,,,,,,,,,,,
FBgn0023083,42569,,,,,,,,,,,,,yes,
FBgn0023536,57727,,,,,,,,,,,,,,
FBgn0024291,32481,,,,,,,,,,,,,yes,
FBgn0024542,55960,,,,,,,,,,,,,yes,
FBgn0024555,v24143,,,,,,,,,,,,,yes,
FBgn0024945,38961,,,,,,,,,,,,,,
FBgn0025463,31337,,,,,,,,,,,,,yes,
FBgn0025615,50620,,,,,,,,,,,male pheno,,,
FBgn0025635,42792,,,,,,,,,,,,,,
FBgn0025720,53867,,,,,,,,,,,,,,
FBgn0025790,29517,,,,,,,,,,,,,yes,
FBgn0025807,80382,,,,,,,,,,,,,,
FBgn0025808,v103552,,,,,,,,,,,,,,
FBgn0026079,62495,,,,,,,,,,,,,,
FBgn0026080,35243,,,,,,,,,,,,,yes,
FBgn0026192,38361,,,,,,,,,,,,,yes,
FBgn0026777,44465,,,,,,,,,,,,,,
FBgn0026876,51800,,,,,,,,,,,,,,
FBgn0027055,33369,,,,,,,,,,,male pheno,,yes,
FBgn0027095,v12834,,,,,,,,,,,,,yes,
FBgn0027524,57377,,,,,,,,,,,,,,
FBgn0027568,33990,,,,,,,,,,,,,,
FBgn0027885,v51472,,,,,,,,,,,,,yes,
FBgn0027903,65166,,,,,,,,,,,,,,
FBgn0028360,36625,,,,,,,,,,,,,yes,
FBgn0028387,27027,,,,,,,,,,,,,yes,
FBgn0028425,v45190,,,,,,,,,,,,,yes,
FBgn0028579,43631,,,,,,,,,,,,,,
FBgn0028669,v110051,,,,,,,,,,,,,,
FBgn0028734,34944,,,,,,,,,,,male pheno,,yes,
FBgn0028887,57556,,,,,,,,,,,,,,
FBgn0028897,64512,,,,,,,,,,,,,,
FBgn0029121,65173,,,,,,,,,,,,,,
FBgn0029778,v41779 - unavail. stock,,,,,,,,,,,,,yes,
FBgn0029820,v25201,,,,,,,,,,,,,yes,
FBgn0029870,55189,,,,,,,,,,,,,yes,
FBgn0029887,64514,,,,,,,,,,,,,,
FBgn0029891,55886,,,,,,,,,,,male pheno,,yes,
FBgn0029911,v17600,,,,,,,,,,,,,yes,
FBgn0030082,v109735,,,,,,,,,,,,,yes,
FBgn0030109,61176,,,,,,,,,,,,,,
FBgn0030122,51938,,,,,,,,,,,,,,
FBgn0030200,53928,,,,,,,,,,,,,,
FBgn0030221,38269,,,,,,,,,,,,,,
FBgn0030345,v43702,,,,,,,,,,,,,yes,
FBgn0030354,43144,,,,,,,,,,,,,yes,
FBgn0030403,v106935,,,,,,,,,,,,,,
FBgn0030456,34352,,,,,,,,,,,,,,
FBgn0030581,in-house line,,,,,,,,,,,,,New,
FBgn0030607,v14815,,,,,,,,,,,,,yes,
FBgn0030620,v102645,,,,,,,,,,,,,,
FBgn0030655,64577,,,,,,,,,,,,,,
FBgn0030706,v29900,,,,,,,,,,,,,yes,
FBgn0030724,34887,,,,,,,,,,,,,,
FBgn0030735,38341,,,,,,,,,,,,,yes,
FBgn0030871,v10881,,,,,,,,,,,,,yes,
FBgn0030874,42552,,,,,,,,,,,,,,
FBgn0031020,v17571,,,,,,,,,,,,,yes,
FBgn0031047,v32104 - currently unavail,,,,,,,,,,,male pheno,,yes,
FBgn0031066,v26848,,,,,,,,,,,,,yes,
FBgn0031094,42761,,,,,,,,,,,,,,
FBgn0031217,51741,,,,,,,,,,,,,,
FBgn0031239,v103741,,,,,,,,,,,,,,
FBgn0031287,77151,,,,,,,,,,,,,,
FBgn0031374,v110764,,,,,,,,,,,,,yes,
FBgn0031534,67953,,,,,,,,,,,,,,
FBgn0031764,43547,,,,,,,,,,,,,,
FBgn0031773,v27007,,,,,,,,,,,,,yes,
FBgn0031850,v100721,,,,,,,,,,,,,yes,
FBgn0031904,36807,,,,,,,,,,,,,,
FBgn0031990,v35956,,,,,,,,,,,male pheno,,yes,
FBgn0032171,v21645,,,,,,,,,,,,,yes,
FBgn0032246,v110451,,,,,,,,,,,,,yes,
FBgn0032251,v109935,,,,,,,,,,,,,,
FBgn0032296,in-house line,,,,,,,,,,,,,New,
FBgn0032298,v27731,,,,,,,,,,,,,yes,
FBgn0032345,v102195,,,,,,,,,,,,,,
FBgn0032373,31723,,,,,,,,,,,,,,
FBgn0032407,50702,,,,,,,,,,,,,,
FBgn0032446,64637,,,,,,,,,,,,,,
FBgn0032524,34800,,,,,,,,,,,,,,
FBgn0032600,v45449,,,,,,,,,,,,,yes,
FBgn0032691,v16047,,,,,,,,,,,,,yes,
FBgn0032723,v105858,,,,,,,,,,,,,,
FBgn0032769,62290,,,,,,,,,,,,,,
FBgn0032812,X,,,,,,,,,,,,,,
FBgn0032879,v101145,,,,,,,,,,,,,yes,
FBgn0033015,43186,,,,,,,,,,,,,yes,
FBgn0033038,v35272,,,,,,,,,,,,,yes,
FBgn0033447,v32668,,,,,,,,,,,male pheno,,,
FBgn0033485,v24797,,,,,,,,,,,,,yes,
FBgn0033549,64952,,,,,,,,,,,,,,
FBgn0033638,v36080,,,,,,,,,,,,,yes,
FBgn0033783,62320,,,,,,,,,,,,,,
FBgn0033921,v103264,,,,,,,,,,,,,yes,
FBgn0033984,27036,,,,,,,,,,,,,,
FBgn0033995,42507,,,,,,,,,,,,,,
FBgn0034050,v46760,,,,,,,,,,,,,yes,
FBgn0034073,44435,,,,,,,,,,,,,,
FBgn0034109,v44854,,,,,,,,,,,,,yes,
FBgn0034214,61311,,,,,,,,,,,,,,
FBgn0034269,64956,,,,,,,,,,,,,,
FBgn0034452,51887,,,,,,,,,,,,,,
FBgn0034572,v27013,,,,,,,,,,,,,yes,
FBgn0034786,64868,,,,,,,,,,,,,,
FBgn0034795,52871,,,,,,,,,,,,,,
FBgn0034834,v21379,,,,,,,,,,,,,yes,
FBgn0034908,v27454,,,,,,,,,,,,,yes,
FBgn0034975,29518,,,,,,,,,,,,,yes,
FBgn0034989,31376,,,,,,,,,,,,,,
FBgn0035400,43180,,,,,,,,,,,,,,
FBgn0035402,31886,,,,,,,,,,,,,yes,
FBgn0035470,v18479,,,,,,,,,,,,,yes,
FBgn0035526,v23851,,,,,,,,,,,,,yes,
FBgn0035690,26239,,,,,,,,,,,,,,
FBgn0035766,v35982,,,,,,,,,,,,,yes,
FBgn0035805,53297,,,,,,,,,,,,,,
FBgn0035825,67209,,,,,,,,,,,,,,
FBgn0035877,v107627,,,,,,,,,,,,,,
FBgn0035900,61816,,,,,,,,,,,,,,
FBgn0035911,64489,,,,,,,,,,,,,,
FBgn0036118,54835,,,,,,,,,,,,,,
FBgn0036336,34996,,,,,,,,,,,,,yes,
FBgn0036356,v18037,,,,,,,,,,,,,yes,
FBgn0036372,38282,,,,,,,,,,,,,,
FBgn0036449,v37877,,,,,,,,,,,,,yes,
FBgn0036500,v22561,,,,,,,,,,,,,yes,
FBgn0036581,34031,,,,,,,,,,,,,yes,
FBgn0036684,57490,,,,,,,,,,,,,,
FBgn0036686,v21048,,,,,,,,,,,,,yes,
FBgn0036764,v42583,,,,,,,,,,,,,yes,
FBgn0036824,56880,,,,,,,,,,,,,,
FBgn0036909,55231,,,,,,,,,,,,,,
FBgn0036920,in-house line,,,,,,,,,,,,,New,
FBgn0037018,v26377,,,,,,,,,,,,,yes,
FBgn0037046,67254,,,,,,,,,,,,,,
FBgn0037050,v27281,,,,,,,,,,,,,yes,
FBgn0037163,32515,,,,,,,,,,,,,,
FBgn0037164,57523,,,,,,,,,,,,,,
FBgn0037182,v35123,,,,,,,,,,,,,yes,
FBgn0037220,v38790,,,,,,,,,,,,,yes,
FBgn0037240,v28294,,,,,,,,,,,,,yes,
FBgn0037312,34604,,,,,,,,,,,,,,
FBgn0037363,36918,,,,,,,,,,,,,yes,
FBgn0037379,v16145,,,,,,,,,,,,,yes,
FBgn0037382,v20783,,,,,,,,,,,,,yes,
FBgn0037660,53306,,,,,,,,,,,,,yes,
FBgn0037816,v107280,,,,,,,,,,,,,,
FBgn0037875,44586,,,,,,,,,,,,,,
FBgn0037891,v34966,,,,,,,,,,,,,yes,
FBgn0037931,26710,,,,,,,,,,,,,,
FBgn0037999,v34899,,,,,,,,,,,,,yes,
FBgn0038055,v22066,,,,,,,,,,,,,yes,
FBgn0038108,77392,,,,,,,,,,,,,,
FBgn0038205,58193,,,,,,,,,,,,,,
FBgn0038234,v21480,,,,,,,,,,,,,yes,
FBgn0038640,v103727,,,,,,,,,,,,,,
FBgn0038723,62520,,,,,,,,,,,,,,
FBgn0038742,v110335,,,,,,,,,,,,,yes,
FBgn0038763,77179,,,,,,,,,,,,,,
FBgn0038788,32482,,,,,,,,,,,,,,
FBgn0038811,v26397,,,,,,,,,,,,,yes,
FBgn0038826,56972,,,,,,,,,,,,,yes,
FBgn0038862,38982,,,,,,,,,,,,,yes,
FBgn0038872,v43211,,,,,,,,,,,,,yes,
FBgn0038887,55370,,,,,,,,,,,,,,
FBgn0038917,v100804,,,,,,,,,,,,,,
FBgn0038965,v17716,,,,,,,,,,,,,yes,
FBgn0039019,v104893,,,,,,,,,,,,,yes,
FBgn0039068,v24481,,,,,,,,,,,,,yes,
FBgn0039140,27695,,,,,,,,,,,,,yes,
FBgn0039141,v108739,,,,,,,,,,,,,yes,
FBgn0039147,51434,,,,,,,,,,,,,,
FBgn0039209,25983,,,,,,,,,,,,,,
FBgn0039229,51759,,,,,,,,,,,,,,
FBgn0039234,57497,,,,,,,,,,,,,,
FBgn0039420,v23009,,,,,,,,,,,,,,
FBgn0039698,77381,,,,,,,,,,,,,,
FBgn0039767,v32517,,,,,,,,,,,,,yes,
FBgn0039773,v108622,,,,,,,,,,,,,yes,
FBgn0039829,62835,,,,,,,,,,,,,,
FBgn0039844,v14925,,,,,,,,,,,,,yes,
FBgn0039869,53677,,,,,,,,,,,,,,
FBgn0039887,67988,,,,,,,,,,,,,,
FBgn0039936,28896,,,,,,,,,,,,,,
FBgn0039943,55703,,,,,,,,,,,,,yes,
FBgn0040087,v103350,,,,,,,,,,,,,yes,
FBgn0040298,35312,,,,,,,,,,,male pheno,,yes,
FBgn0040634,v106778,,,,,,,,,,,,,,
FBgn0043456,33696,,,,,,,,,,,,,,
FBgn0045073,27263,,,,,,,,,,,,,yes,
FBgn0046692,34620,,,,,,,,,,,,,yes,
FBgn0050291,v21120,,,,,,,,,,,,,yes,
FBgn0050423,62369,,,,,,,,,,,,,,
FBgn0050456,34380,,,,,,,,,,,,,,
FBgn0051092,31150,,,,,,,,,,,,,,
FBgn0051320,v106702,,,,,,,,,,,male pheno,,yes,
FBgn0051522,38952,,,,,,,,,,,,,,
FBgn0051523,v45226,,,,,,,,,,,,,yes,
FBgn0051619,55296,,,,,,,,,,,,,,
FBgn0051961,v29359,,,,,,,,,,,,,yes,
FBgn0051989,v9402,,,,,,,,,,,male pheno,,yes,
FBgn0052006,v47024,,,,,,,,,,,,,yes,
FBgn0052373,v101586,,,,,,,,,,,,,yes,
FBgn0052626,v29873,,,,,,,,,,,,,yes,
FBgn0052670,34374,,,,,,,,,,,,,,
FBgn0052671,v109230,,,,,,,,,,,,,,
FBgn0052673,X,,,,,,,,,,,,,,
FBgn0053002,v46439,,,,,,,,,,,,,yes,
FBgn0053087,31151,,,,,,,,,,,,,,
FBgn0058191,v107687,,,,,,,,,,,,,,
FBgn0061469,v45875,,,,,,,,,,,,,,
FBgn0062411,v102136,,,,,,,,,,,,,,
FBgn0066101,27249,,,,,,,,,,,,,,
FBgn0067052,v109376,,,,,,,,,,,,,,
FBgn0085370,v25197,,,,,,,,,,,,,yes,
FBgn0085395,25819,,,,,,,,,,,,,,
FBgn0086134,v29686,,,,,,,,,,,,,yes,
FBgn0086445,43981,,,,,,,,,,,,,,
FBgn0086446,64679,,,,,,,,,,,,,,
FBgn0086908,32445,,,,,,,,,,,,,yes,
FBgn0243511,v21960,,,,,,,,,,,,,yes,
FBgn0250816,35232,,,,,,,,,,,male pheno,,yes,
FBgn0259481,v107327,,,,,,,,,,,,,,
FBgn0259483,v40442,,,,,,,,,,,,,yes,
FBgn0260933,65230,,,,,,,,,,,,,,
FBgn0260972,33429,,,,,,,,,,,,,,
FBgn0261119,in house (Prp19),,,,,,,,,,,,,yes,
FBgn0261238,39057,,,,,,,,,,,,,,
FBgn0261385,v33466,,,,,,,,,,,male pheno,,yes,
FBgn0261573,31743,,,,,,,,,,,,,yes,
FBgn0261641,33737,,,,,,,,,,,,,,
FBgn0261792,55358,,,,,,,,,,,,,yes,
FBgn0261794,34584,,,,,,,,,,,,,yes,
FBgn0262115,v19180,,,,,,,,,,,,,yes,
FBgn0262123,X,,,,,,,,,,,,,,
FBgn0262124,v103156,,,,,,,,,,,,,yes,
FBgn0262593,v102218,,,,,,,,,,,,,yes,
FBgn0262743,v22348,,,,,,,,,,,,,yes,
FBgn0262872,28385,,,,,,,,,,,male pheno,,yes,
FBgn0263199,35356,,,,,,,,,,,,,,
FBgn0263289,35748,,,,,,,,,,,,,yes,
FBgn0263593,v36006,,,,,,,,,,,,,yes,
FBgn0263602,64907,,,,,,,,,,,,,,
FBgn0263772,v15480,,,,,,,,,,,,,yes,
FBgn0263934,v32037,,,,,,,,,,,,,yes,
FBgn0264273,28932,,,,,,,,,,,,,,
FBgn0264785,34717,,,,,,,,,,,,,,
FBgn0264922,28034,,,,,,,,,,,,,yes,
FBgn0264975,v27201,,,,,,,,,,,,,yes,
FBgn0265102,51904,,,,,,,,,,,,,,
FBgn0265194,v30609,,,,,,,,,,,,,yes,
FBgn0265434,36727,,,,,,,,,,,,,yes,
FBgn0265606,v46876,,,,,,,,,,,male pheno,,yes,
FBgn0265630,v28341,,,,,,,,,,,,,yes,
FBgn0266268,v20804,,,,,,,,,,,,,yes,
FBgn0266465,57042,,,,,,,,,,,,,yes,
FBgn0266670,27526,,,,,,,,,,,,,yes,
FBgn0267790,42665,,,,,,,,,,,male pheno,,,
FBgn0278608,v41029,,,,,,,,,,,,,yes,
FBgn0283499,35251,,,,,,,,,,,male pheno,,yes,
FBgn0283658,v48941,,,,,,,,,,,,,yes,
FBgn0284220,35416,,,,,,,,,,,male pheno,,yes,
FBgn0284221,29436,,,,,,,,,,,,,,
FBgn0285911,v23769,,,,,,,,,,,,,yes,
FBgn0285937,27299,,,,,,,,,,,male pheno,,,
FBgn0285944,31676,,,,,,,,,,,,,,
