Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID
MGI:103258	MGI	MGI:103258	Adad1	adenosine deaminase domain containing 1 (testis specific)	protein coding gene	ENSMUSG00000027719	21744
MGI:2443203	MGI	MGI:2443203	Zfp384	zinc finger protein 384	protein coding gene	ENSMUSG00000038346	269800
MGI:1920706	MGI	MGI:1920706	Izumo1	izumo sperm-egg fusion 1	protein coding gene	ENSMUSG00000064158	73456
MGI:2146974	MGI	MGI:2146974	Safb	scaffold attachment factor B	protein coding gene	ENSMUSG00000071054	224903
MGI:1096372	MGI	MGI:1096372	Ybx2	Y box protein 2	protein coding gene	ENSMUSG00000018554	53422
MGI:96945MGI:87884MGI:98785		No associated gene					
MGI:1931523MGI:96945MGI:98785		No associated gene					
MGI:1888530MGI:96945MGI:98785		No associated gene					
MGI:98785MGI:96945MGI:1931523		No associated gene					
MGI:98785MGI:96945MGI:1888530		No associated gene					
MGI:99514	MGI	MGI:99514	shmy	shimmy	heritable phenotypic marker		20427
MGI:1341870	MGI	MGI:1341870	Stk11	serine/threonine kinase 11	protein coding gene	ENSMUSG00000003068	20869
MGI:1341870MGI:2182093		No associated gene					
MGI:2148775	MGI	MGI:2148775	Tssk6	testis-specific serine kinase 6	protein coding gene	ENSMUSG00000047654	83984
MGI:95747	MGI	MGI:95747	Glra1	glycine receptor, alpha 1 subunit	protein coding gene	ENSMUSG00000000263	14654
MGI:105931	MGI	MGI:105931	Sycp1	synaptonemal complex protein 1	protein coding gene	ENSMUSG00000027855	20957
MGI:95806MGI:99829		No associated gene					
MGI:95387MGI:894702MGI:107423		No associated gene					
MGI:1918115	MGI	MGI:1918115	Lnpk	lunapark, ER junction formation factor	protein coding gene	ENSMUSG00000009207	69605
MGI:106183	MGI	MGI:106183	Ocln	occludin	protein coding gene	ENSMUSG00000021638	18260
MGI:1891836	MGI	MGI:1891836	Mkks	McKusick-Kaufman syndrome	protein coding gene	ENSMUSG00000027274	59030
MGI:95543	MGI	MGI:95543	Fkbp4	FK506 binding protein 4	protein coding gene	ENSMUSG00000030357	14228
MGI:97902	MGI	MGI:97902	Ret	ret proto-oncogene	protein coding gene	ENSMUSG00000030110	19713
MGI:1929645	MGI	MGI:1929645	Rec8	REC8 meiotic recombination protein	protein coding gene	ENSMUSG00000002324	56739
MGI:96173	MGI	MGI:96173	Hoxa13	homeobox A13	protein coding gene	ENSMUSG00000038203	15398
MGI:2450860	MGI	MGI:2450860	Tg(Cyp19)C2-3Rrte	transgene insertion C2-3, Rajeshwar Rao Tekmal	transgene		
MGI:1916835	MGI	MGI:1916835	Hjv	hemojuvelin BMP co-receptor	protein coding gene	ENSMUSG00000038403	69585
MGI:1096867	MGI	MGI:1096867	Etv5	ets variant 5	protein coding gene	ENSMUSG00000013089	104156
MGI:1891436	MGI	MGI:1891436	Foxp3	forkhead box P3	protein coding gene	ENSMUSG00000039521	20371
MGI:2136171	MGI	MGI:2136171	Aff4	AF4/FMR2 family, member 4	protein coding gene	ENSMUSG00000049470	93736
MGI:3590179	MGI	MGI:3590179	repro28	reproductive mutant 28, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:2684996	MGI	MGI:2684996	Ccdc62	coiled-coil domain containing 62	protein coding gene	ENSMUSG00000061882	208908
MGI:3590182	MGI	MGI:3590182	repro31	reproductive mutant 31, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3590183	MGI	MGI:3590183	repro33	reproductive mutant 33, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:106221	MGI	MGI:106221	Capza3	capping protein (actin filament) muscle Z-line, alpha 3	protein coding gene	ENSMUSG00000041791	12344
MGI:2153463MGI:1313307		No associated gene					
MGI:1346875	MGI	MGI:1346875	Map3k4	mitogen-activated protein kinase kinase kinase 4	protein coding gene	ENSMUSG00000014426	26407
MGI:2389007	MGI	MGI:2389007	Hydin	HYDIN, axonemal central pair apparatus protein	protein coding gene	ENSMUSG00000059854	244653
MGI:105089	MGI	MGI:105089	Hsd17b4	hydroxysteroid (17-beta) dehydrogenase 4	protein coding gene	ENSMUSG00000024507	15488
MGI:1353419	MGI	MGI:1353419	Rnf17	ring finger protein 17	protein coding gene	ENSMUSG00000000365	30054
MGI:1913972	MGI	MGI:1913972	Spag16	sperm associated antigen 16	protein coding gene	ENSMUSG00000053153	66722
MGI:1930171	MGI	MGI:1930171	Nectin3	nectin cell adhesion molecule 3	protein coding gene	ENSMUSG00000022656	58998
MGI:1913447	MGI	MGI:1913447	Cks2	CDC28 protein kinase regulatory subunit 2	protein coding gene	ENSMUSG00000062248	66197
MGI:3608907	MGI	MGI:3608907	Del(1)1Brk	deletion, Chr 1, Jane Barker 1	chromosomal deletion		
MGI:1333754	MGI	MGI:1333754	Agfg1	ArfGAP with FG repeats 1	protein coding gene	ENSMUSG00000026159	15463
MGI:87920	MGI	MGI:87920	Plin2	perilipin 2	protein coding gene	ENSMUSG00000028494	11520
MGI:98968	MGI	MGI:98968	Wt1	Wilms tumor 1 homolog	protein coding gene	ENSMUSG00000016458	22431
MGI:1206591MGI:1197519		No associated gene					
MGI:1197519MGI:99702		No associated gene					
MGI:95484MGI:3612156		No associated gene					
MGI:2178103	MGI	MGI:2178103	Arhgdia	Rho GDP dissociation inhibitor (GDI) alpha	protein coding gene	ENSMUSG00000025132	192662
MGI:2148793	MGI	MGI:2148793	Kiss1r	KISS1 receptor	protein coding gene	ENSMUSG00000035773	114229
MGI:5583961	MGI	MGI:5583961	Del(19Poll-Dcpd)1Nmt	deletion, Chr 19, Noboru Motoyama 1	chromosomal deletion		
MGI:1890574	MGI	MGI:1890574	Sptbn4	spectrin beta, non-erythrocytic 4	protein coding gene	ENSMUSG00000011751	80297
MGI:3617448MGI:95412		No associated gene					
MGI:96212	MGI	MGI:96212	hpc	hyperspiny Purkinje cell	heritable phenotypic marker		15443
MGI:95713	MGI	MGI:95713	Gja1	gap junction protein, alpha 1	protein coding gene	ENSMUSG00000050953	14609
MGI:1309516	MGI	MGI:1309516	Tpst2	protein-tyrosine sulfotransferase 2	protein coding gene	ENSMUSG00000029344	22022
MGI:97360	MGI	MGI:97360	Nos1	nitric oxide synthase 1, neuronal	protein coding gene	ENSMUSG00000029361	18125
MGI:108520	MGI	MGI:108520	Fzd4	frizzled class receptor 4	protein coding gene	ENSMUSG00000049791	14366
MGI:1927471	MGI	MGI:1927471	Lsr	lipolysis stimulated lipoprotein receptor	protein coding gene	ENSMUSG00000001247	54135
MGI:1933227	MGI	MGI:1933227	Tex14	testis expressed gene 14	protein coding gene	ENSMUSG00000010342	83560
MGI:894645	MGI	MGI:894645	Pick1	protein interacting with C kinase 1	protein coding gene	ENSMUSG00000068206	18693
MGI:1915523	MGI	MGI:1915523	Pomgnt1	protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase	protein coding gene	ENSMUSG00000028700	68273
MGI:2384854	MGI	MGI:2384854	Prdm9	PR domain containing 9	protein coding gene	ENSMUSG00000051977	213389
MGI:104781	MGI	MGI:104781	Kcnj6	potassium inwardly-rectifying channel, subfamily J, member 6	protein coding gene	ENSMUSG00000043301	16522
MGI:1889272	MGI	MGI:1889272	Cadm1	cell adhesion molecule 1	protein coding gene	ENSMUSG00000032076	54725
MGI:95524	MGI	MGI:95524	Fgfr3	fibroblast growth factor receptor 3	protein coding gene	ENSMUSG00000054252	14184
MGI:108059	MGI	MGI:108059	Stx2	syntaxin 2	protein coding gene	ENSMUSG00000029428	13852
MGI:1351338	MGI	MGI:1351338	Grm1	glutamate receptor, metabotropic 1	protein coding gene	ENSMUSG00000019828	14816
MGI:3664564	MGI	MGI:3664564	Tg(Gfap-TK)7.1Mvs	transgene insertion 7.1, Michael V Sofroniew	transgene		
MGI:1095412	MGI	MGI:1095412	Unc5c	unc-5 netrin receptor C	protein coding gene	ENSMUSG00000059921	22253
MGI:1933281	MGI	MGI:1933281	Sycp2	synaptonemal complex protein 2	protein coding gene	ENSMUSG00000060445	320558
MGI:3689105	MGI	MGI:3689105	fit5	fitness 5	heritable phenotypic marker		
MGI:98968MGI:1923802		No associated gene					
MGI:2447763	MGI	MGI:2447763	Dnd1	DND microRNA-mediated repression inhibitor 1	protein coding gene	ENSMUSG00000044595	213236
MGI:1274789	MGI	MGI:1274789	Taldo1	transaldolase 1	protein coding gene	ENSMUSG00000025503	21351
MGI:1933218	MGI	MGI:1933218	Tdrd1	tudor domain containing 1	protein coding gene	ENSMUSG00000025081	83561
MGI:3692887	MGI	MGI:3692887	repro54	reproductive mutation 34, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692892	MGI	MGI:3692892	repro30	reproductive mutation 30, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692896	MGI	MGI:3692896	repro48	reproductive mutation 48, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692900	MGI	MGI:3692900	repro53	reproductive mutation 53, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692904	MGI	MGI:3692904	repro52	reproductive mutation 52, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692908	MGI	MGI:3692908	repro51	reproductive mutation 51, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692911	MGI	MGI:3692911	repro50	reproductive mutation 50, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692915	MGI	MGI:3692915	repro49	reproductive mutation 49, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3692919	MGI	MGI:3692919	repro47	reproductive mutation 47, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:97492	MGI	MGI:97492	Pax8	paired box 8	protein coding gene	ENSMUSG00000026976	18510
MGI:104663	MGI	MGI:104663	Lep	leptin	protein coding gene	ENSMUSG00000059201	16846
MGI:104663MGI:108418		No associated gene					
MGI:1924106	MGI	MGI:1924106	Catsper3	cation channel, sperm associated 3	protein coding gene	ENSMUSG00000021499	76856
MGI:3043288	MGI	MGI:3043288	Catsper4	cation channel, sperm associated 4	protein coding gene	ENSMUSG00000048003	329954
MGI:893579	MGI	MGI:893579	Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	protein coding gene	ENSMUSG00000028790	20218
MGI:2137670	MGI	MGI:2137670	Ybx3	Y box protein 3	protein coding gene	ENSMUSG00000030189	56449
MGI:1344418	MGI	MGI:1344418	Cib1	calcium and integrin binding 1 (calmyrin)	protein coding gene	ENSMUSG00000030538	23991
MGI:3512773	MGI	MGI:3512773	repro2	reproductive mutant 2, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3590178	MGI	MGI:3590178	repro3	reproductive mutation 3, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3696042	MGI	MGI:3696042	Zglp1	zinc finger, GATA-like protein 1	protein coding gene	ENSMUSG00000079681	100009600
MGI:3036247	MGI	MGI:3036247	Lmtk2	lemur tyrosine kinase 2	protein coding gene	ENSMUSG00000038970	231876
MGI:1920831	MGI	MGI:1920831	Stk36	serine/threonine kinase 36	protein coding gene	ENSMUSG00000033276	269209
MGI:1342295	MGI	MGI:1342295	Celf1	CUGBP, Elav-like family member 1	protein coding gene	ENSMUSG00000005506	13046
MGI:1316660	MGI	MGI:1316660	Cacng2	calcium channel, voltage-dependent, gamma subunit 2	protein coding gene	ENSMUSG00000019146	12300
MGI:97433	MGI	MGI:97433	olt	oligotriche	heritable phenotypic marker		18375
MGI:1354733	MGI	MGI:1354733	Dmrt1	doublesex and mab-3 related transcription factor 1	protein coding gene	ENSMUSG00000024837	50796
MGI:2178111	MGI	MGI:2178111	Ts(17<16>)65Dn	trisomy, Chr 16 translocation to Chr 17, Davisson 65	chromosomal translocation		
MGI:107492	MGI	MGI:107492	Nxph1	neurexophilin 1	protein coding gene	ENSMUSG00000046178	18231
MGI:1917319	MGI	MGI:1917319	H1fnt	H1 histone family, member N, testis-specific	protein coding gene	ENSMUSG00000048077	70069
MGI:3698128	MGI	MGI:3698128	Ts(10<16>)232Dn	trisomy, Chr 16 translocation to Chr 10, Davisson 232	chromosomal translocation		
MGI:3698129	MGI	MGI:3698129	Ts(12<17>)4Rk	trisomy 17, Chr 17 translocation to Chr 12, Roderick 4	chromosomal translocation		
MGI:3698130	MGI	MGI:3698130	Ts(4<17>)2Lws	trisomy 17, Chr 17 translocation to Chr4, Lewis 2	chromosomal translocation		
MGI:1352762	MGI	MGI:1352762	Scmh1	sex comb on midleg homolog 1	protein coding gene	ENSMUSG00000000085	29871
MGI:2150020	MGI	MGI:2150020	Rad51c	RAD51 paralog C	protein coding gene	ENSMUSG00000007646	114714
MGI:3645767	MGI	MGI:3645767	Rnf212	ring finger protein 212	protein coding gene	ENSMUSG00000055385	671564
MGI:3708257	MGI	MGI:3708257	repro46	reproductive mutant 46, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3708996	MGI	MGI:3708996	repro36	reproductive mutant 36, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:97175	MGI	MGI:97175	Map2	microtubule-associated protein 2	protein coding gene	ENSMUSG00000015222	17756
MGI:3512780	MGI	MGI:3512780	repro14	reproductive mutant 14, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3038337	MGI	MGI:3038337	ferf1	fertilization failure 1	heritable phenotypic marker		
MGI:1919096	MGI	MGI:1919096	Syce2	synaptonemal complex central element protein 2	protein coding gene	ENSMUSG00000003824	71846
MGI:3709999	MGI	MGI:3709999	Tg(MT2A-Myc)#Misu	transgene insertion #, Misao Suzuki	transgene		
MGI:1891340	MGI	MGI:1891340	Lpin1	lipin 1	protein coding gene	ENSMUSG00000020593	14245
MGI:1891468	MGI	MGI:1891468	Lgr4	leucine-rich repeat-containing G protein-coupled receptor 4	protein coding gene	ENSMUSG00000050199	107515
MGI:1918491	MGI	MGI:1918491	Dmrtc2	doublesex and mab-3 related transcription factor like family C2	protein coding gene	ENSMUSG00000011349	71241
MGI:1919818MGI:88357		No associated gene					
MGI:88357	MGI	MGI:88357	Cdk4	cyclin-dependent kinase 4	protein coding gene	ENSMUSG00000006728	12567
MGI:99960	MGI	MGI:99960	Ewsr1	Ewing sarcoma breakpoint region 1	protein coding gene	ENSMUSG00000009079	14030
MGI:5502906MGI:95454		No associated gene					
MGI:103301	MGI	MGI:103301	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	protein coding gene	ENSMUSG00000017412	12298
MGI:105061	MGI	MGI:105061	Clcn2	chloride channel, voltage-sensitive 2	protein coding gene	ENSMUSG00000022843	12724
MGI:1924303	MGI	MGI:1924303	Sun1	Sad1 and UNC84 domain containing 1	protein coding gene	ENSMUSG00000036817	77053
MGI:1921538	MGI	MGI:1921538	Spem1	sperm maturation 1	protein coding gene	ENSMUSG00000041165	74288
MGI:96203	MGI	MGI:96203	Hoxd11	homeobox D11	protein coding gene	ENSMUSG00000042499	15431
MGI:2148922MGI:87983		No associated gene					
MGI:98881	MGI	MGI:98881	Tyrp1	tyrosinase-related protein 1	protein coding gene	ENSMUSG00000005994	22178
MGI:98472MGI:105076		No associated gene					
MGI:95813	MGI	MGI:95813	Grid2	glutamate receptor, ionotropic, delta 2	protein coding gene	ENSMUSG00000071424	14804
MGI:1930199	MGI	MGI:1930199	Tg(MMTV-Notch4)3Rnc	transgene insertion 3, Robert Callahan	transgene		
MGI:95462MGI:96205		No associated gene					
MGI:95462	MGI	MGI:95462	Evx2	even-skipped homeobox 2	protein coding gene	ENSMUSG00000001815	14029
MGI:2149946	MGI	MGI:2149946	Gopc	golgi associated PDZ and coiled-coil motif containing	protein coding gene	ENSMUSG00000019861	94221
MGI:95690	MGI	MGI:95690	Gdf7	growth differentiation factor 7	protein coding gene	ENSMUSG00000037660	238057
MGI:97566	MGI	MGI:97566	Pgm3	phosphoglucomutase 3	protein coding gene	ENSMUSG00000056131	109785
MGI:1920583	MGI	MGI:1920583	Slc25a31	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	protein coding gene	ENSMUSG00000069041	73333
MGI:2385046	MGI	MGI:2385046	Slc26a8	solute carrier family 26, member 8	protein coding gene	ENSMUSG00000036196	224661
MGI:1926555	MGI	MGI:1926555	Mapk8ip2	mitogen-activated protein kinase 8 interacting protein 2	protein coding gene	ENSMUSG00000022619	60597
MGI:1855701	MGI	MGI:1855701	Zpbp	zona pellucida binding protein	protein coding gene	ENSMUSG00000020193	53604
MGI:1916626MGI:1855701		No associated gene					
MGI:2663985	MGI	MGI:2663985	Kiss1	KiSS-1 metastasis-suppressor	protein coding gene	ENSMUSG00000116158	280287
MGI:98847	MGI	MGI:98847	Kdm3a	lysine (K)-specific demethylase 3A	protein coding gene	ENSMUSG00000053470	104263
MGI:1891374	MGI	MGI:1891374	Brdt	bromodomain, testis-specific	protein coding gene	ENSMUSG00000029279	114642
MGI:2135611	MGI	MGI:2135611	Immp2l	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	protein coding gene	ENSMUSG00000056899	93757
MGI:2182765MGI:1100510		No associated gene					
MGI:1277215	MGI	MGI:1277215	Bbs1	Bardet-Biedl syndrome 1 (human)	protein coding gene	ENSMUSG00000006464	52028
MGI:97037	MGI	MGI:97037	mn	miniature	heritable phenotypic marker		17418
MGI:3767830MGI:1933825		No associated gene					
MGI:105062MGI:109452MGI:1328787		No associated gene					
MGI:1328787MGI:105062MGI:109452		No associated gene					
MGI:96721	MGI	MGI:96721	L1cam	L1 cell adhesion molecule	protein coding gene	ENSMUSG00000031391	16728
MGI:96638	MGI	MGI:96638	jg	jagged tail	heritable phenotypic marker		16465
MGI:1923802MGI:88064		No associated gene					
MGI:88064MGI:105062		No associated gene					
MGI:1337104	MGI	MGI:1337104	Eya4	EYA transcriptional coactivator and phosphatase 4	protein coding gene	ENSMUSG00000010461	14051
MGI:3776661	MGI	MGI:3776661	Del(MTmt-Tk-mt-Nd5)1Jiha	deletion, MT, Jun-Ichi Hayashi 1	chromosomal deletion		
MGI:103219MGI:2146156		No associated gene					
MGI:1095413	MGI	MGI:1095413	Lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein coding gene	ENSMUSG00000029570	16848
MGI:98888	MGI	MGI:98888	Ubb	ubiquitin B	protein coding gene	ENSMUSG00000019505	22187
MGI:103038MGI:2176172		No associated gene					
MGI:2135607	MGI	MGI:2135607	Sirt1	sirtuin 1	protein coding gene	ENSMUSG00000020063	93759
MGI:3039526	MGI	MGI:3039526	Tg(MMTV-Erbb2)NA1Mul	transgene insertion NA1, William Muller	transgene		
MGI:3785822	MGI	MGI:3785822	Tg(MMTV-Erbb2)NB1Mul	transgene insertion NB1, William Muller	transgene		
MGI:88443	MGI	MGI:88443	cod	cerebellar outflow degeneration	heritable phenotypic marker		12811
MGI:99400	MGI	MGI:99400	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	protein coding gene	ENSMUSG00000033792	11977
MGI:1934816	MGI	MGI:1934816	Tex15	testis expressed gene 15	protein coding gene	ENSMUSG00000009628	104271
MGI:2153182	MGI	MGI:2153182	Kcnn2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	protein coding gene	ENSMUSG00000054477	140492
MGI:1891832	MGI	MGI:1891832	Patz1	POZ (BTB) and AT hook containing zinc finger 1	protein coding gene	ENSMUSG00000020453	56218
MGI:109392	MGI	MGI:109392	Esr2	estrogen receptor 2 (beta)	protein coding gene	ENSMUSG00000021055	13983
MGI:88401	MGI	MGI:88401	Vsx2	visual system homeobox 2	protein coding gene	ENSMUSG00000021239	12677
MGI:3525201	MGI	MGI:3525201	Mdc1	mediator of DNA damage checkpoint 1	protein coding gene	ENSMUSG00000061607	240087
MGI:1929069	MGI	MGI:1929069	Rnf8	ring finger protein 8	protein coding gene	ENSMUSG00000090083	58230
MGI:97399	MGI	MGI:97399	ocd	osteochondrodystrophy	heritable phenotypic marker		18258
MGI:3800822	MGI	MGI:3800822	Tg(Prnp-Abca1)EHol	transgene insertion E, David M Holtzman	transgene		
MGI:1351633	MGI	MGI:1351633	Ip6k1	inositol hexaphosphate kinase 1	protein coding gene	ENSMUSG00000032594	27399
MGI:98849	MGI	MGI:98849	Tshr	thyroid stimulating hormone receptor	protein coding gene	ENSMUSG00000020963	22095
MGI:5584150	MGI	MGI:5584150	Del(16Tssk1-Tssk2)1Joch	deletion, Chr 1, John C Herr 1	chromosomal deletion		
MGI:3588194	MGI	MGI:3588194	Prdm14	PR domain containing 14	protein coding gene	ENSMUSG00000042414	383491
MGI:101941MGI:1096340		No associated gene					
MGI:1194909	MGI	MGI:1194909	Rsph1	radial spoke head 1 homolog (Chlamydomonas)	protein coding gene	ENSMUSG00000024033	22092
MGI:2152297	MGI	MGI:2152297	Pth2	parathyroid hormone 2	protein coding gene	ENSMUSG00000038300	114640
MGI:1932622	MGI	MGI:1932622	Cstf2t	cleavage stimulation factor, 3' pre-RNA subunit 2, tau	protein coding gene	ENSMUSG00000053536	83410
MGI:1098767	MGI	MGI:1098767	Sgo2a	shugoshin 2A	protein coding gene	ENSMUSG00000026039	68549
MGI:2138281	MGI	MGI:2138281	Lbr	lamin B receptor	protein coding gene	ENSMUSG00000004880	98386
MGI:96203MGI:96172		No associated gene					
MGI:99136	MGI	MGI:99136	Xpl	X-linked polydactyly	heritable phenotypic marker		104098
MGI:96764	MGI	MGI:96764	Ldhc	lactate dehydrogenase C	protein coding gene	ENSMUSG00000030851	16833
MGI:1933237MGI:1919410		No associated gene					
MGI:88182MGI:88181		No associated gene					
MGI:1913904	MGI	MGI:1913904	Tex12	testis expressed 12	protein coding gene	ENSMUSG00000032065	66654
MGI:1858233	MGI	MGI:1858233	Nphp1	nephronophthisis 1 (juvenile) homolog (human)	protein coding gene	ENSMUSG00000027378	53885
MGI:1930079	MGI	MGI:1930079	Fads2	fatty acid desaturase 2	protein coding gene	ENSMUSG00000024665	56473
MGI:2138453	MGI	MGI:2138453	Mael	maelstrom spermatogenic transposon silencer	protein coding gene	ENSMUSG00000040629	98558
MGI:3795878	MGI	MGI:3795878	Trl	trembler-like	heritable phenotypic marker		
MGI:2178103MGI:101940		No associated gene					
MGI:96172MGI:96203MGI:96193		No associated gene					
MGI:96193MGI:96172MGI:96203		No associated gene					
MGI:96203MGI:96193MGI:96172		No associated gene					
MGI:98751	MGI	MGI:98751	Tim	translocation induced circling mutation	heritable phenotypic marker		107698
MGI:3034012	MGI	MGI:3034012	hem6	haematopoietic 6	heritable phenotypic marker		
MGI:1336991	MGI	MGI:1336991	Trp73	transformation related protein 73	protein coding gene	ENSMUSG00000029026	22062
MGI:2442213	MGI	MGI:2442213	Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	protein coding gene	ENSMUSG00000040268	101476
MGI:97530MGI:2442213		No associated gene					
MGI:2442213MGI:97531		No associated gene					
MGI:1261415	MGI	MGI:1261415	Sgpl1	sphingosine phosphate lyase 1	protein coding gene	ENSMUSG00000020097	20397
MGI:1261415MGI:97530		No associated gene					
MGI:97531MGI:1261415		No associated gene					
MGI:2142523	MGI	MGI:2142523	Crtc1	CREB regulated transcription coactivator 1	protein coding gene	ENSMUSG00000003575	382056
MGI:1921684	MGI	MGI:1921684	Sohlh2	spermatogenesis and oogenesis specific basic helix-loop-helix 2	protein coding gene	ENSMUSG00000027794	74434
MGI:2685449	MGI	MGI:2685449	Rimbp3	RIMS binding protein 3	protein coding gene	ENSMUSG00000071636	239731
MGI:97303	MGI	MGI:97303	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1	protein coding gene	ENSMUSG00000031644	18004
MGI:1341296	MGI	MGI:1341296	Tlr6	toll-like receptor 6	protein coding gene	ENSMUSG00000051498	21899
MGI:109337	MGI	MGI:109337	Brca2	breast cancer 2, early onset	protein coding gene	ENSMUSG00000041147	12190
MGI:96286	MGI	MGI:96286	hubb	hyper-unconjugated bilirubinemia	heritable phenotypic marker		15570
MGI:1924825	MGI	MGI:1924825	Kmt2e	lysine (K)-specific methyltransferase 2E	protein coding gene	ENSMUSG00000029004	69188
MGI:1343464	MGI	MGI:1343464	Rorb	RAR-related orphan receptor beta	protein coding gene	ENSMUSG00000036192	225998
MGI:2385198	MGI	MGI:2385198	Usp1	ubiquitin specific peptidase 1	protein coding gene	ENSMUSG00000028560	230484
MGI:1352467MGI:1919410		No associated gene					
MGI:105373	MGI	MGI:105373	Ptch1	patched 1	protein coding gene	ENSMUSG00000021466	19206
MGI:1920037	MGI	MGI:1920037	Ndc1	NDC1 transmembrane nucleoporin	protein coding gene	ENSMUSG00000028614	72787
MGI:1921325	MGI	MGI:1921325	Syce1	synaptonemal complex central element protein 1	protein coding gene	ENSMUSG00000025480	74075
MGI:1920989	MGI	MGI:1920989	Cby1	chibby family member 1, beta catenin antagonist	protein coding gene	ENSMUSG00000022428	73739
MGI:104738	MGI	MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	protein coding gene	ENSMUSG00000044303	12578
MGI:1918339	MGI	MGI:1918339	Sept12	septin 12	protein coding gene	ENSMUSG00000022542	71089
MGI:96210MGI:96202		No associated gene					
MGI:103147	MGI	MGI:103147	Dync1h1	dynein cytoplasmic 1 heavy chain 1	protein coding gene	ENSMUSG00000018707	13424
MGI:1342270	MGI	MGI:1342270	Large1	LARGE xylosyl- and glucuronyltransferase 1	protein coding gene	ENSMUSG00000004383	16795
MGI:95729MGI:95728		No associated gene					
MGI:2446977	MGI	MGI:2446977	Kif18a	kinesin family member 18A	protein coding gene	ENSMUSG00000027115	228421
MGI:2679727	MGI	MGI:2679727	Tdrd6	tudor domain containing 6	protein coding gene	ENSMUSG00000040140	210510
MGI:1933192	MGI	MGI:1933192	Nxf2	nuclear RNA export factor 2	protein coding gene	ENSMUSG00000009941	83454
MGI:103177	MGI	MGI:103177	Mpz	myelin protein zero	protein coding gene	ENSMUSG00000056569	17528
MGI:106011MGI:1342057		No associated gene					
MGI:98918	MGI	MGI:98918	us	urogenital syndrome	heritable phenotypic marker		22277
MGI:1098808MGI:1923802		No associated gene					
MGI:1934031	MGI	MGI:1934031	Pi4k2a	phosphatidylinositol 4-kinase type 2 alpha	protein coding gene	ENSMUSG00000025178	84095
MGI:108554	MGI	MGI:108554	Dab1	disabled 1	protein coding gene	ENSMUSG00000028519	13131
MGI:894695	MGI	MGI:894695	Galnt3	polypeptide N-acetylgalactosaminyltransferase 3	protein coding gene	ENSMUSG00000026994	14425
MGI:1921318	MGI	MGI:1921318	Asz1	ankyrin repeat, SAM and basic leucine zipper domain containing 1	protein coding gene	ENSMUSG00000010796	74068
MGI:2177178MGI:1923802		No associated gene					
MGI:104774	MGI	MGI:104774	Adra1b	adrenergic receptor, alpha 1b	protein coding gene	ENSMUSG00000050541	11548
MGI:1346833MGI:105062		No associated gene					
MGI:104779MGI:98725		No associated gene					
MGI:2442062	MGI	MGI:2442062	Sh3pxd2b	SH3 and PX domains 2B	protein coding gene	ENSMUSG00000040711	268396
MGI:98915	MGI	MGI:98915	ur	urogenital	heritable phenotypic marker		22274
MGI:98906	MGI	MGI:98906	uns	unsteady	heritable phenotypic marker		22261
MGI:95713MGI:1923802		No associated gene					
MGI:98479	MGI	MGI:98479	Tal	talipes	heritable phenotypic marker		109560
MGI:1096329	MGI	MGI:1096329	Foxi1	forkhead box I1	protein coding gene	ENSMUSG00000047861	14233
MGI:1202878	MGI	MGI:1202878	Meig1	meiosis expressed gene 1	protein coding gene	ENSMUSG00000026650	104362
MGI:4361745	MGI	MGI:4361745	Hdlk	hypodactyly like	heritable phenotypic marker		
MGI:1921424	MGI	MGI:1921424	Gtsf1	gametocyte specific factor 1	protein coding gene	ENSMUSG00000022487	74174
